unit,year,quarter,quarter_date,year_quarter,value,act,trend
Región Centro,2003,1,2003-03-31,2003 Q1,70.72454467559317,65_total,NA
Región Centro,2003,2,2003-06-30,2003 Q2,74.8020050127631,65_total,NA
Región Centro,2003,3,2003-09-30,2003 Q3,71.87196010883412,65_total,72.87380663818988
Región Centro,2003,4,2003-12-31,2003 Q4,73.2486129425438,65_total,73.36094774706805
Región Centro,2004,1,2004-03-31,2004 Q1,72.4207523016438,65_total,73.91567992067883
Región Centro,2004,2,2004-06-30,2004 Q2,77.00292625773797,65_total,74.71964295733106
Región Centro,2004,3,2004-09-30,2004 Q3,74.10889625274528,65_total,75.21454964329855
Región Centro,2004,4,2004-12-31,2004 Q4,77.44338109185061,65_total,75.37606200775478
Región Centro,2005,1,2005-03-31,2005 Q1,72.18523764007688,65_total,75.85683207837144
Región Centro,2005,2,2005-06-30,2005 Q2,78.53053983495478,65_total,76.26245725758227
Región Centro,2005,3,2005-09-30,2005 Q3,76.42744324046171,65_total,77.05831483019648
Región Centro,2005,4,2005-12-31,2005 Q4,78.36983553782076,65_total,78.24933578110371
Región Centro,2006,1,2006-03-31,2006 Q1,77.62564377502055,65_total,79.18711669877949
Región Centro,2006,2,2006-06-30,2006 Q2,82.61830130726881,65_total,79.95138329190159
Región Centro,2006,3,2006-09-30,2006 Q3,79.84192910955399,65_total,80.27625027109124
Región Centro,2006,4,2006-12-31,2006 Q4,81.06948241370532,65_total,80.33596703668475
Región Centro,2007,1,2007-03-31,2007 Q1,77.52493273265327,65_total,80.62532311559286
Región Centro,2007,2,2007-06-30,2007 Q2,83.19674647438411,65_total,81.09218010893613
Región Centro,2007,3,2007-09-30,2007 Q3,81.5783325737035,65_total,81.18505703346933
Región Centro,2007,4,2007-12-31,2007 Q4,83.06793489630189,65_total,81.1751212902675
Región Centro,2008,1,2008-03-31,2008 Q1,76.26949564632243,65_total,81.579935472331
Región Centro,2008,2,2008-06-30,2008 Q2,84.37269761510031,65_total,81.94898296187694
Región Centro,2008,3,2008-09-30,2008 Q3,83.64089488949521,65_total,81.63284792931738
Región Centro,2008,4,2008-12-31,2008 Q4,83.95775249687763,65_total,80.16262419002571
Región Centro,2009,1,2009-03-31,2009 Q1,72.85059778527034,65_total,78.53304064698285
Región Centro,2009,2,2009-06-30,2009 Q2,76.02980556181906,65_total,77.76732989099547
Región Centro,2009,3,2009-09-30,2009 Q3,78.94711859843352,65_total,78.2655251591521
Región Centro,2009,4,2009-12-31,2009 Q4,82.52584274004025,65_total,79.56177458362559
Región Centro,2010,1,2010-03-31,2010 Q1,78.26806968736089,65_total,80.62317175995804
Región Centro,2010,2,2010-06-30,2010 Q2,80.98232905551632,65_total,81.45153632559685
Región Centro,2010,3,2010-09-30,2010 Q3,82.48577251539601,65_total,82.28586161347165
Región Centro,2010,4,2010-12-31,2010 Q4,85.6141053481881,65_total,83.0983091905248
Región Centro,2011,1,2011-03-31,2011 Q1,81.85440938221139,65_total,83.94815321787122
Región Centro,2011,2,2011-06-30,2011 Q2,83.89556997709107,65_total,84.75590690764025
Región Centro,2011,3,2011-09-30,2011 Q3,86.37128381259271,65_total,85.52916162664333
Región Centro,2011,4,2011-12-31,2011 Q4,88.1906235691436,65_total,86.338028833359715
Región Centro,2012,1,2012-03-31,2012 Q1,85.46392891328051,65_total,86.82538308530965
Región Centro,2012,2,2012-06-30,2012 Q2,86.75698809975303,65_total,87.42011707127818
Región Centro,2012,3,2012-09-30,2012 Q3,87.4086997055302,65_total,87.75905177629447
Región Centro,2012,4,2012-12-31,2012 Q4,91.91107956395444,65_total,87.8446632007853
Región Centro,2013,1,2013-03-31,2013 Q1,84.45495055859993,65_total,88.31000787234424
Región Centro,2013,2,2013-06-30,2013 Q2,88.45085785036024,65_total,88.61611839043215
Región Centro,2013,3,2013-09-30,2013 Q3,89.43758732739447,65_total,88.97338649959403
Región Centro,2013,4,2013-12-31,2013 Q4,92.33107608679349,65_total,89.45788882510496
Región Centro,2014,1,2014-03-31,2014 Q1,86.89309890905595,65_total,89.77257954560937
Región Centro,2014,2,2014-06-30,2014 Q2,89.88872810399165,65_total,90.1668729851488
Región Centro,2014,3,2014-09-30,2014 Q3,90.51724283779843,65_total,90.72561906381661
Región Centro,2014,4,2014-12-31,2014 Q4,94.40576809270488,65_total,91.29165298671136
Región Centro,2015,1,2015-03-31,2015 Q1,89.28837553248692,65_total,91.90902627713021
Región Centro,2015,2,2015-06-30,2015 Q2,92.02172286371871,65_total,92.51236163557775
Región Centro,2015,3,2015-09-30,2015 Q3,93.32323440142228,65_total,92.87239015775239
Región Centro,2015,4,2015-12-31,2015 Q4,96.42645939666133,65_total,93.29923107493175
Región Centro,2016,1,2016-03-31,2016 Q1,90.14791240592754,65_total,93.75109925933458
Región Centro,2016,2,2016-06-30,2016 Q2,94.57691332771299,65_total,94.32961848985842
Región Centro,2016,3,2016-09-30,2016 Q3,94.38298941265063,65_total,95.42359120344629
Región Centro,2016,4,2016-12-31,2016 Q4,99.99485822962367,65_total,96.33888041070854
Región Centro,2017,1,2017-03-31,2017 Q1,95.33129528166825,65_total,96.84745507680637
Región Centro,2017,2,2017-06-30,2017 Q2,96.71584411007024,65_total,97.46387324904443
Región Centro,2017,3,2017-09-30,2017 Q3,96.31265595907591,65_total,97.94776523962852
Región Centro,2017,4,2017-12-31,2017 Q4,102.99653706110297,65_total,98.39891924362777
Región Centro,2018,1,2018-03-31,2018 Q1,96.20075237486164,65_total,99.20230911609339
Región Centro,2018,2,2018-06-30,2018 Q2,99.455619048871,65_total,99.81601382427468
Región Centro,2018,3,2018-09-30,2018 Q3,100,65_total,100.12050983149737
Región Centro,2018,4,2018-12-31,2018 Q4,104.2188306856292,65_total,100.04911973282456
Región Centro,2019,1,2019-03-31,2019 Q1,97.41442680811693,65_total,99.68139568539814
Región Centro,2019,2,2019-06-30,2019 Q2,97.67082382623335,65_total,99.2430604465489
Región Centro,2019,3,2019-09-30,2019 Q3,98.84300284322613,65_total,98.57212370331666
Región Centro,2019,4,2019-12-31,2019 Q4,101.86914593160911,65_total,95.68581637288132
Región Centro,2020,1,2020-03-31,2020 Q1,94.39661761627923,65_total,91.90548974355353
Región Centro,2020,2,2020-06-30,2020 Q2,77.59817437458828,65_total,90.071052342994
Región Centro,2020,3,2020-09-30,2020 Q3,88.67303926024887,65_total,89.28493464948903
Región Centro,2020,4,2020-12-31,2020 Q4,97.3636103101101,65_total,91.28677751881312
Región Centro,2021,1,2021-03-31,2021 Q1,92.61321168973853,65_total,94.03698117165318
Región Centro,2021,2,2021-06-30,2021 Q2,95.39632325572173,65_total,94.49228304797163
Región Centro,2021,3,2021-09-30,2021 Q3,92.87651960183582,65_total,94.76936579974102
Región Centro,2021,4,2021-12-31,2021 Q4,96.80254497907075,65_total,95.37437392629218
Región Centro,2022,1,2022-03-31,2022 Q1,95.39093903493313,65_total,96.23416878788693
Región Centro,2022,2,2022-06-30,2022 Q2,97.45866092293623,65_total,97.38643740997273
Región Centro,2022,3,2022-09-30,2022 Q3,97.69254082737942,65_total,98.35820567470716
Región Centro,2022,4,2022-12-31,2022 Q4,101.2046727302136,65_total,99.27813129399318
Región Centro,2023,1,2023-03-31,2023 Q1,98.76295740166572,65_total,100.28726134270588
Región Centro,2023,2,2023-06-30,2023 Q2,101.4460475104918,65_total,101.09004499735488
Región Centro,2023,3,2023-09-30,2023 Q3,101.77819462952537,65_total,NA
Región Centro,2023,4,2023-12-31,2023 Q4,103.54128816525976,65_total,NA
Región Centro,2003,1,2003-03-31,2003 Q1,76.67226636498748,66_primary,NA
Región Centro,2003,2,2003-06-30,2003 Q2,158.13918192770242,66_primary,NA
Región Centro,2003,3,2003-09-30,2003 Q3,96.6802150738249,66_primary,120.12198645680755
Región Centro,2003,4,2003-12-31,2003 Q4,143.59413550807207,66_primary,119.48218024247775
Región Centro,2004,1,2004-03-31,2004 Q1,87.47656027027406,66_primary,117.23353218695252
Región Centro,2004,2,2004-06-30,2004 Q2,142.21643830777757,66_primary,117.63097426451127
Región Centro,2004,3,2004-09-30,2004 Q3,94.61377424954786,66_primary,116.20845090311626
Región Centro,2004,4,2004-12-31,2004 Q4,148.84011295281908,66_primary,110.61791981896879
Región Centro,2005,1,2005-03-31,2005 Q1,70.8503959343671,66_primary,109.38923337222586
Región Centro,2005,2,2005-06-30,2005 Q2,114.1183539705046,66_primary,110.56015912513092
Región Centro,2005,3,2005-09-30,2005 Q3,112.88236701287744,66_primary,110.5126946527482
Región Centro,2005,4,2005-12-31,2005 Q4,139.93892621272994,66_primary,115.76858474888147
Región Centro,2006,1,2006-03-31,2006 Q1,79.37186689539455,66_primary,118.48411035821138
Región Centro,2006,2,2006-06-30,2006 Q2,147.64400377854327,66_primary,117.87013210803165
Región Centro,2006,3,2006-09-30,2006 Q3,101.08092207947814,66_primary,120.69628663408946
Región Centro,2006,4,2006-12-31,2006 Q4,146.82854514469145,66_primary,123.818113448438
Región Centro,2007,1,2007-03-31,2007 Q1,95.09148417189553,66_primary,125.92357805259786
Región Centro,2007,2,2007-06-30,2007 Q2,156.89900101683045,66_primary,130.7128863754244
Región Centro,2007,3,2007-09-30,2007 Q3,108.66964167446982,66_primary,132.0854116231227
Región Centro,2007,4,2007-12-31,2007 Q4,177.5542921323122,66_primary,127.13335450143036
Región Centro,2008,1,2008-03-31,2008 Q1,75.34593916586118,66_primary,123.63672061177257
Región Centro,2008,2,2008-06-30,2008 Q2,137.0280890493261,66_primary,120.59844778260981
Región Centro,2008,3,2008-09-30,2008 Q3,100.56748252471186,66_primary,117.07173882135916
Región Centro,2008,4,2008-12-31,2008 Q4,161.35026864876792,66_primary,114.40288560790587
Región Centro,2009,1,2009-03-31,2009 Q1,63.33629095940033,66_primary,111.16882075996365
Región Centro,2009,2,2009-06-30,2009 Q2,127.68691154816061,66_primary,106.98059237040121
Región Centro,2009,3,2009-09-30,2009 Q3,84.03614124233958,66_primary,105.55921111856101
Región Centro,2009,4,2009-12-31,2009 Q4,144.37578281464073,66_primary,106.87749700334592
Región Centro,2010,1,2010-03-31,2010 Q1,68.93972677880589,66_primary,110.06307172939833
Región Centro,2010,2,2010-06-30,2010 Q2,132.6297628070344,66_primary,112.81246343145202
Región Centro,2010,3,2010-09-30,2010 Q3,104.57788779188499,66_primary,113.00240320286491
Región Centro,2010,4,2010-12-31,2010 Q4,145.82916988152488,66_primary,107.62688323977434
Región Centro,2011,1,2011-03-31,2011 Q1,69.00585788322476,66_primary,101.75691263838581
Región Centro,2011,2,2011-06-30,2011 Q2,89.559471997891,66_primary,98.39649454373938
