state,eaindex,year,quarter,year_quarter,date,country,region,amlo_vic,naim,covid,eaindexi
Aguascalientes,86.7,2010,1,2010 Q1,2010-04-01,MEX,Región Centro-Norte,0,0,0,66.38591117917305
Aguascalientes,87,2010,2,2010 Q2,2010-07-01,MEX,Región Centro-Norte,0,0,0,66.6156202143951
Aguascalientes,89.7,2010,3,2010 Q3,2010-10-01,MEX,Región Centro-Norte,0,0,0,68.68300153139357
Aguascalientes,88.8,2010,4,2010 Q4,2011-01-01,MEX,Región Centro-Norte,0,0,0,67.99387442572741
Aguascalientes,89.7,2011,1,2011 Q1,2011-04-01,MEX,Región Centro-Norte,0,0,0,68.68300153139357
Aguascalientes,91.1,2011,2,2011 Q2,2011-07-01,MEX,Región Centro-Norte,0,0,0,69.75497702909648
Aguascalientes,92.3,2011,3,2011 Q3,2011-10-01,MEX,Región Centro-Norte,0,0,0,70.67381316998468
Aguascalientes,94.7,2011,4,2011 Q4,2012-01-01,MEX,Región Centro-Norte,0,0,0,72.5114854517611
Aguascalientes,96.1,2012,1,2012 Q1,2012-04-01,MEX,Región Centro-Norte,0,0,0,73.58346094946401
Aguascalientes,96.8,2012,2,2012 Q2,2012-07-01,MEX,Región Centro-Norte,0,0,0,74.11944869831547
Aguascalientes,96.8,2012,3,2012 Q3,2012-10-01,MEX,Región Centro-Norte,0,0,0,74.11944869831547
Aguascalientes,98.5,2012,4,2012 Q4,2013-01-01,MEX,Región Centro-Norte,0,0,0,75.42113323124043
Aguascalientes,99.4,2013,1,2013 Q1,2013-04-01,MEX,Región Centro-Norte,0,0,0,76.11026033690659
Aguascalientes,99.7,2013,2,2013 Q2,2013-07-01,MEX,Región Centro-Norte,0,0,0,76.33996937212865
Aguascalientes,100.9,2013,3,2013 Q3,2013-10-01,MEX,Región Centro-Norte,0,0,0,77.25880551301685
Aguascalientes,100.1,2013,4,2013 Q4,2014-01-01,MEX,Región Centro-Norte,0,0,0,76.64624808575805
Aguascalientes,108.6,2014,1,2014 Q1,2014-04-01,MEX,Región Centro-Norte,0,0,0,83.15467075038285
Aguascalientes,109.2,2014,2,2014 Q2,2014-07-01,MEX,Región Centro-Norte,0,0,0,83.61408882082696
Aguascalientes,110.4,2014,3,2014 Q3,2014-10-01,MEX,Región Centro-Norte,0,0,0,84.53292496171517
Aguascalientes,112.8,2014,4,2014 Q4,2015-01-01,MEX,Región Centro-Norte,0,0,0,86.37059724349157
