year,month,value,countrycode,base,desestacion,year_month,date,amlo_vic,naim,amlo_gov,imf,countryflag,country,continent,base_value,eaindex,eaindex_trend,eaindex_seasonal
2013,01,99.50854446,MEX,2013,1,2013 Jan,2013-01-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,87.91799785799785,NA,0.9999374682057439
2013,02,99.55448722,MEX,2013,1,2013 Feb,2013-02-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,87.95858930164914,87.96537543755528,0.9999512611649344
2013,03,99.62347231,MEX,2013,1,2013 Mar,2013-03-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.01953915301887,87.87036613036418,1.0001112706293216
2013,04,99.18594028,MEX,2013,1,2013 Apr,2013-04-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,87.63296993642452,87.92598043891206,0.9999374682057439
2013,05,99.74332565,MEX,2013,1,2013 May,2013-05-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.1254322272928,87.90433425061627,0.9999512611649344
2013,06,99.54997266,MEX,2013,1,2013 Jun,2013-06-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,87.9546005881315,88.02968668113837,1.0001112706293216
2013,07,99.61157456,MEX,2013,1,2013 Jul,2013-07-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.0090272279908,88.19366936891751,0.9999374682057439
2013,08,100.300129,MEX,2013,1,2013 Aug,2013-08-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.61738029063025,88.45670115381785,0.9999512611649344
2013,09,100.4430973,MEX,2013,1,2013 Sep,2013-09-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.74369594283252,88.771372861531745,1.0001112706293216
2013,10,100.6800426,MEX,2013,1,2013 Oct,2013-10-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.95304235113251,88.87856391222806,0.9999374682057439
2013,11,100.6640963,MEX,2013,1,2013 Nov,2013-11-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.93895344271915,89.09606172484453,0.9999512611649344
2013,12,101.1816113,MEX,2013,1,2013 Dec,2013-12-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,89.39618938068196,88.97028304792204,1.0001112706293216
2014,01,100.252961,MEX,2013,1,2014 Jan,2014-01-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,88.57570632036499,89.2553158170866,0.9999374682057439
2014,02,101.6319253,MEX,2013,1,2014 Feb,2014-02-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,89.79405175021287,89.39293283603584,0.9999512611649344
2014,03,101.64889,MEX,2013,1,2014 Mar,2014-03-01,0,0,0,273,🇲🇽,Mexico,Americas,113.1833605,89.80904043752967,90.00638402143926,1.0001112706293216
