year,countrycode,gdppc,continent,naim
1997,ARG,9.349698424299351,Americas,0
1998,ARG,9.38734782179861,Americas,0
1999,ARG,9.355767062549596,Americas,0
2000,ARG,9.359242353982381,Americas,0
2001,ARG,9.325511664804136,Americas,0
2002,ARG,9.214792251161771,Americas,0
2003,ARG,9.308297506596267,Americas,0
2004,ARG,9.410682685317164,Americas,0
2005,ARG,9.516012466656472,Americas,0
2006,ARG,9.613644814183502,Americas,0
2007,ARG,9.716570390037251,Americas,0
2008,ARG,9.765413290166844,Americas,0
2009,ARG,9.700797936185346,Americas,0
2010,ARG,9.801671544529807,Americas,0
2011,ARG,9.869011376676323,Americas,0
2012,ARG,9.885392462623432,Americas,0
2013,ARG,9.910049993773551,Americas,0
2014,ARG,9.88754979379231,Americas,0
2015,ARG,9.90873371691067,Americas,0
2016,ARG,9.918763777196212,Americas,0
2017,ARG,10.068879854438341,Americas,0
2018,ARG,10.055808376568447,Americas,0
2019,ARG,10.04313608657921,Americas,0
2020,ARG,9.941218328310677,Americas,0
2021,ARG,10.07016209302234,Americas,0
1997,BGR,8.657031554750853,Europe,0
1998,BGR,8.728693810683984,Europe,0
1999,BGR,8.66695913530048,Europe,0
2000,BGR,8.767478511322931,Europe,0
2001,BGR,8.847787963430429,Europe,0
2002,BGR,8.960140119943777,Europe,0
2003,BGR,9.038006808783175,Europe,0
2004,BGR,9.127122241824699,Europe,0
2005,BGR,9.239067544427426,Europe,0
2006,BGR,9.342080491568085,Europe,0
2007,BGR,9.458087460417335,Europe,0
2008,BGR,9.570509227098237,Europe,0
2009,BGR,9.559669227267783,Europe,0
2010,BGR,9.612900409631813,Europe,0
2011,BGR,9.664410571977387,Europe,0
2012,BGR,9.700628902392445,Europe,0
2013,BGR,9.719985683291661,Europe,0
2014,BGR,9.776614695634018,Europe,0
2015,BGR,9.819667123022105,Europe,0
2016,BGR,9.907198428090785,Europe,0
2017,BGR,9.974409349703343,Europe,0
2018,BGR,10.043948843389732,Europe,0
2019,BGR,10.106331545565295,Europe,0
2020,BGR,10.109055053286122,Europe,0
2021,BGR,10.192622526257413,Europe,0
1997,BOL,8.074521362941214,Americas,0
1998,BOL,8.11491185602742,Americas,0
1999,BOL,8.113560364934205,Americas,0
2000,BOL,8.141396805128773,Americas,0
2001,BOL,8.161316083967598,Americas,0
2002,BOL,8.182562305267455,Americas,0
2003,BOL,8.210386436039084,Americas,0
2004,BOL,8.259600304633299,Americas,0
2005,BOL,8.315900227904766,Americas,0
2006,BOL,8.375627521237154,Americas,0
2007,BOL,8.42972796493969,Americas,0
2008,BOL,8.491483361066273,Americas,0
2009,BOL,8.514229571607096,Americas,0
2010,BOL,8.550178493295046,Americas,0
2011,BOL,8.605251147793455,Americas,0
2012,BOL,8.686370220667937,Americas,0
2013,BOL,8.798576355779579,Americas,0
2014,BOL,8.861750989508794,Americas,0
2015,BOL,8.872609584023609,Americas,0
2016,BOL,8.922627997670826,Americas,0
2017,BOL,9.038804150944268,Americas,0
2018,BOL,9.089563080421733,Americas,0
2019,BOL,9.115225747912557,Americas,0
2020,BOL,9.02197633957591,Americas,0
2021,BOL,9.108350578079403,Americas,0
1997,BRA,9.056340155258145,Americas,0
1998,BRA,9.055618273916267,Americas,0
1999,BRA,9.05946959166745,Americas,0
2000,BRA,9.110574626090383,Americas,0
2001,BRA,9.132987808201415,Americas,0
2002,BRA,9.165403157661874,Americas,0
2003,BRA,9.183716827735712,Americas,0
2004,BRA,9.254195841056587,Americas,0
2005,BRA,9.305132933508972,Americas,0
2006,BRA,9.363475520424245,Americas,0
2007,BRA,9.438691253334083,Americas,0
2008,BRA,9.497432733936847,Americas,0
2009,BRA,9.492943448187525,Americas,0
2010,BRA,9.568093322502477,Americas,0
2011,BRA,9.6184726590938,Americas,0
2012,BRA,9.618886740244024,Americas,0
2013,BRA,9.654303247931704,Americas,0
2014,BRA,9.662597773649138,Americas,0
2015,BRA,9.598599206486908,Americas,0
2016,BRA,9.564944610462888,Americas,0
2017,BRA,9.583599974881981,Americas,0
2018,BRA,9.617050198513803,Americas,0
2019,BRA,9.63939761668873,Americas,0
2020,BRA,9.6046901802051,Americas,0
2021,BRA,9.683838897881229,Americas,0
1997,CAN,10.136932286434762,Americas,0
1998,CAN,10.178072005556787,Americas,0
1999,CAN,10.234277724964313,Americas,0
2000,CAN,10.287459466618389,Americas,0
2001,CAN,10.316616649299396,Americas,0
2002,CAN,10.34054993402711,Americas,0
2003,CAN,10.384367558377845,Americas,0
2004,CAN,10.431928316673305,Americas,0
2005,CAN,10.500322839742887,Americas,0
2006,CAN,10.54847896404629,Americas,0
2007,CAN,10.585960711589312,Americas,0
2008,CAN,10.60599842854366,Americas,0
2009,CAN,10.567860019912805,Americas,0
2010,CAN,10.599117853584977,Americas,0
2011,CAN,10.63745771065894,Americas,0
2012,CAN,10.652328758540673,Americas,0
2013,CAN,10.698707872770855,Americas,0
2014,CAN,10.731029046683423,Americas,0
2015,CAN,10.707059217312612,Americas,0
2016,CAN,10.746612581229133,Americas,0
2017,CAN,10.785542357875803,Americas,0
2018,CAN,10.819633519447757,Americas,0
2019,CAN,10.805663371489375,Americas,0
2020,CAN,10.748757732128169,Americas,0
2021,CAN,10.860632963554865,Americas,0
1997,CHL,9.071371033116037,Americas,0
1998,CHL,9.108041760821152,Americas,0
1999,CHL,9.106118518793583,Americas,0
2000,CHL,9.168030023972346,Americas,0
2001,CHL,9.214099889752065,Americas,0
2002,CHL,9.249804567213104,Americas,0
2003,CHL,9.30235336079373,Americas,0
2004,CHL,9.375399571175697,Americas,0
2005,CHL,9.447720170210296,Americas,0
2006,CHL,9.658703886661662,Americas,0
2007,CHL,9.731531707957442,Americas,0
2008,CHL,9.711363984453115,Americas,0
2009,CHL,9.684587340163429,Americas,0
2010,CHL,9.800501458402811,Americas,0
2011,CHL,9.916390421078676,Americas,0
2012,CHL,9.976366403245713,Americas,0
2013,CHL,10.014446936129806,Americas,0
2014,CHL,10.029558440977008,Americas,0
2015,CHL,10.024207500071844,Americas,0
2016,CHL,10.057528416923324,Americas,0
2017,CHL,10.102811445674288,Americas,0
2018,CHL,10.14748045856999,Americas,0
2019,CHL,10.139456942223251,Americas,0
2020,CHL,10.130186029469469,Americas,0
2021,CHL,10.278632896780513,Americas,0
1997,COL,8.817432091070856,Americas,0
1998,COL,8.817469974184776,Americas,0
1999,COL,8.772094030487406,Americas,0
2000,COL,8.807288200161505,Americas,0
2001,COL,8.830535009570994,Americas,0
2002,COL,8.855462023596667,Americas,0
2003,COL,8.898663129012787,Americas,0
2004,COL,8.962938347216415,Americas,0
2005,COL,9.02747526511926,Americas,0
2006,COL,9.10998639960833,Americas,0
2007,COL,9.189517022787546,Americas,0
2008,COL,9.229060080326292,Americas,0
2009,COL,9.235656284872924,Americas,0
2010,COL,9.281061833547833,Americas,0
2011,COL,9.359113959664358,Americas,0
2012,COL,9.394214995865282,Americas,0
2013,COL,9.451541101237003,Americas,0
2014,COL,9.49607739165703,Americas,0
2015,COL,9.492944367058653,Americas,0
2016,COL,9.53330001304294,Americas,0
2017,COL,9.558975518220363,Americas,0
2018,COL,9.6187381978959,Americas,0
2019,COL,9.659700785789306,Americas,0
2020,COL,9.606998130252983,Americas,0
2021,COL,9.734702986926186,Americas,0
1997,CRI,8.833118645287518,Americas,0
1998,CRI,8.890837076681985,Americas,0
1999,CRI,8.92490697644416,Americas,0
2000,CRI,8.965658285292012,Americas,0
2001,CRI,9.004319170853728,Americas,0
2002,CRI,9.036947215405894,Americas,0
2003,CRI,9.083479804965913,Americas,0
2004,CRI,9.138697689597166,Americas,0
2005,CRI,9.19438864800453,Americas,0
2006,CRI,9.281600750395446,Americas,0
2007,CRI,9.37368559984692,Americas,0
2008,CRI,9.425783409156201,Americas,0
2009,CRI,9.41057284255208,Americas,0
2010,CRI,9.462285908777517,Americas,0
2011,CRI,9.513841543193076,Americas,0
2012,CRI,9.569518466548756,Americas,0
2013,CRI,9.616200026046052,Americas,0
2014,CRI,9.684543344672942,Americas,0
2015,CRI,9.746295385677145,Americas,0
2016,CRI,9.856134090332096,Americas,0
2017,CRI,9.920690468783729,Americas,0
2018,CRI,9.967356036424512,Americas,0
2019,CRI,10.027139645741446,Americas,0
