Time Period,ARS:Argentine peso,BRL:Brazilian real,CAD:Canadian dollar,CLP:Chilean peso,CNY:Renminbi,COP:Colombian peso,MXN:Mexican peso,RUB:Russian rouble,TRY:Turkish lira,UYU:Uruguayan peso,EUR:Euro
01/01/10,NaN,NaN,NaN,NaN,NaN,2044.23,NaN,NaN,,NaN,NaN
02/01/10,,,,NaN,,2044.23,,,,NaN,
03/01/10,,,,NaN,,2044.23,,,,NaN,
04/01/10,3.801515046,1.731670026,1.039197,507.1,6.827299,2044.23,12.972687,29.995135,1.488011676,19.509,0.694975
05/01/10,3.794488298,1.718390805,1.035314,505.7,6.827171,2021.21,12.798297,29.843512,1.473757097,19.4,0.692425
06/01/10,3.81184669,1.733937282,1.039721,504.22,6.827387,1992.78,12.805017,29.860627,1.47630662,NaN,0.696864
07/01/10,3.810123043,1.745595638,1.033907,497.93,6.827671,1971.32,12.793135,29.794114,1.481753356,19.507,0.699105
08/01/10,3.797379668,1.746794647,1.035592,494.54,6.827506,1969.08,12.748967,29.776501,1.473411336,19.551,0.700624
09/01/10,,,,NaN,,1968.24,,,,NaN,
10/01/10,,,,NaN,,1968.24,,,,NaN,
11/01/10,3.799559471,1.723637115,1.027533,492.37,6.826404,1968.24,12.633398,29.342305,1.452367841,19.524,0.688326
12/01/10,3.791174643,1.747738416,1.033009,489.47,6.827084,1968.24,12.775016,29.485118,1.455976797,19.649,0.69056
13/01/10,3.797294513,1.740369429,1.034471,491.16,6.826821,1959.43,12.749983,29.55435,1.446954611,19.626,0.686672
14/01/10,3.796769294,1.766188044,1.031479,490.01,6.827282,1965.81,12.759975,29.458097,1.459961342,19.611,0.690322
15/01/10,3.799986086,1.769723111,1.026297,493,6.82691,1974.13,12.716711,29.568318,1.454014192,19.623,0.695701
16/01/10,,,,NaN,,1967.4,,,,NaN,
17/01/10,,,,NaN,,1967.4,,,,NaN,
18/01/10,3.792887466,1.77500174,1.025889,492.9,6.826989,1967.4,12.682024,29.604009,1.451318811,19.631,0.695943
19/01/10,3.80278731,1.779186218,1.031095,490.89,6.827369,1967.4,12.718468,29.675397,1.460186288,19.63,0.700329
20/01/10,3.799886782,1.788494198,1.045217,492.21,6.82713,1957.82,12.691763,29.729691,1.467237475,19.553,0.707614
21/01/10,3.80403868,1.785907281,1.048066,495.2,6.826792,1964.18,12.710466,29.765216,1.477389078,19.598,0.711035
22/01/10,3.813229572,1.818040325,1.053484,498.75,6.826884,1967.08,12.987973,29.842519,1.491333569,19.6,0.707464
23/01/10,,,,NaN,,1981.96,,,,NaN,
24/01/10,,,,NaN,,1981.96,,,,NaN,
25/01/10,3.808918098,1.816055402,1.059713,506.36,6.826867,1981.96,12.899795,30.107413,1.487456717,19.61,0.706664
26/01/10,3.806034789,1.83514377,1.062478,506.88,6.826908,1961.97,12.91317,30.340433,1.498118566,19.6,0.709975
27/01/10,3.816088687,1.847001137,1.064028,512.12,6.826819,1972.22,12.884025,30.283542,1.492751563,19.6,0.710631
28/01/10,3.816272591,1.848846346,1.058933,520.69,6.826916,1988.05,12.942282,30.33431,1.492820916,19.614,0.714337
29/01/10,3.823571531,1.862093656,1.068595,531.75,6.826794,1991.21,13.024989,30.316483,1.488830016,19.6,0.716025
30/01/10,,,,NaN,,1982.29,,,,NaN,
31/01/10,,,,NaN,,1982.29,,,,NaN,
01/02/10,3.838136994,1.877380867,1.068641,523.1,6.827428,1982.29,13.038022,30.368001,1.491051535,19.6,0.718752
02/02/10,3.838702734,1.844227596,1.059625,528.48,6.826935,1972.6,12.882471,30.169692,1.486690105,19.551,0.717515
03/02/10,3.832951945,1.834453661,1.060641,528.58,6.826588,1959.93,12.880006,29.934211,1.48319508,19.5,0.715103
04/02/10,3.833971257,1.860691847,1.061674,535.51,6.826894,1966.02,12.97754,30.103994,1.497436268,19.617,0.722178
05/02/10,3.841939961,1.88138193,1.073552,546.18,6.827113,1984.16,13.174129,30.483529,1.51815061,19.916,0.730407
06/02/10,,,,NaN,,1997.13,,,,NaN,
07/02/10,,,,NaN,,1997.13,,,,NaN,
08/02/10,3.839122486,1.877952468,1.070567,543.35,6.826691,1997.13,13.172212,30.497989,1.524753199,19.9,0.731261
09/02/10,3.844476744,1.856758721,1.06686,541.39,6.826672,2003.76,13.12827,30.351744,1.511627907,19.82,0.726744
