date,fix
01/01/10,12.8019
01/02/10,12.9424
01/03/10,12.5737
01/04/10,12.2302
01/05/10,12.7428
01/06/10,12.7193
01/07/10,12.8189
01/08/10,12.7695
01/09/10,12.7997
01/10/10,12.4374
01/11/10,12.3391
01/12/10,12.3885
01/01/11,12.1258
01/02/11,12.0703
01/03/11,11.9992
01/04/11,11.7184
01/05/11,11.6533
01/06/11,11.806
01/07/11,11.6726
01/08/11,12.2319
01/09/11,13.0445
01/10/11,13.435
01/11/11,13.6993
01/12/11,13.7689
01/01/12,13.4178
01/02/12,12.7831
01/03/12,12.7567
01/04/12,13.0697
01/05/12,13.6634
01/06/12,13.9192
01/07/12,13.3661
01/08/12,13.1845
01/09/12,12.9394
01/10/12,12.891
01/11/12,13.0746
01/12/12,12.8705
01/01/13,12.699
01/02/13,12.7229
01/03/13,12.5247
01/04/13,12.205
01/05/13,12.3115
01/06/13,12.9596
01/07/13,12.7659
01/08/13,12.9178
01/09/13,13.0759
01/10/13,12.9992
01/11/13,13.0796
01/12/13,13.0076
01/01/14,13.223
01/02/14,13.2808
01/03/14,13.1951
01/04/14,13.0708
01/05/14,12.9247
01/06/14,12.9958
01/07/14,12.9904
01/08/14,13.1406
01/09/14,13.2352
01/10/14,13.4763
01/11/14,13.6216
01/12/14,14.5129
01/01/15,14.6926
01/02/15,14.9213
01/03/15,15.2283
01/04/15,15.2262
01/05/15,15.2645
01/06/15,15.483
01/07/15,15.9396
01/08/15,16.5368
01/09/15,16.8578
01/10/15,16.564
01/11/15,16.6357
01/12/15,17.0666
01/01/16,18.0728
01/02/16,18.4731
01/03/16,17.649
01/04/16,17.4877
01/05/16,18.1542
01/06/16,18.653
01/07/16,18.6014
01/08/16,18.4749
01/09/16,19.1924
01/10/16,18.8924
01/11/16,20.1185
01/12/16,20.5206
01/01/17,21.3853
01/02/17,20.2905
01/03/17,19.301
01/04/17,18.7875
01/05/17,18.7557
01/06/17,18.1326
01/07/17,17.8283
01/08/17,17.807
01/09/17,17.8357
01/10/17,18.8161
01/11/17,18.9158
01/12/17,19.1812
01/01/18,18.9074
01/02/18,18.6449
01/03/18,18.6308
01/04/18,18.3872
01/05/18,19.591
01/06/18,20.3032
01/07/18,19.0095
01/08/18,18.8575
01/09/18,19.0154
01/10/18,19.1859
01/11/18,20.2612
01/12/18,20.1112
01/01/19,19.1651
01/02/19,19.2049
01/03/19,19.2477
01/04/19,18.9864
01/05/19,19.1197
01/06/19,19.2745
01/07/19,19.0534
01/08/19,19.685
01/09/19,19.5865
01/10/19,19.3242
01/11/19,19.3325
01/12/19,19.1071
01/01/20,18.804
01/02/20,18.8443
01/03/20,22.3784
01/04/20,24.2658
01/05/20,23.423
01/06/20,22.299
01/07/20,22.4033
01/08/20,22.2072
01/09/20,21.681
01/10/20,21.2705
01/11/20,20.3819
01/12/20,19.9651
01/01/21,19.9215
01/02/21,20.3097
01/03/21,20.7555
01/04/21,20.0153
01/05/21,19.9631
01/06/21,20.0301
01/07/21,19.9701
01/08/21,20.0761
01/09/21,20.0487
01/10/21,20.4626
01/11/21,20.9004
01/12/21,20.8918
01/01/22,20.4978
01/02/22,20.4495
01/03/22,20.5562
01/04/22,20.1088
01/05/22,20.0305
01/06/22,20.0237
01/07/22,20.5467
01/08/22,20.1209
01/09/22,20.075
01/10/22,19.9845
01/11/22,19.4449
01/12/22,19.593
01/01/23,18.9863
01/02/23,18.5986
01/03/23,18.3749
01/04/23,18.0855
01/05/23,17.7373
01/06/23,17.2412
01/07/23,16.9049
01/08/23,16.9766
01/09/23,17.3077
01/10/23,18.0823
01/11/23,17.3767
01/12/23,17.186
01/01/24,17.0873
01/02/24,17.0898
01/03/24,16.7918
01/04/24,16.8104
01/05/24,16.7936
01/06/24,18.2174
01/07/24,18.1117
01/08/24,19.1515
