Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Pakistan,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico
1985,1,,,,,106.9259262,,,,,,,58.77736879,,,,,,,,,103.7488022,,,126.4307365,
1985,2,,,,,114.699379,,,,,,,57.37237834,,,,,,,,,78.3132019,,,98.60890444,
1985,3,,,,,79.58830261,,,,,,,55.9673879,,,,,,,,,100.7614822,,,112.8506256,
1985,4,,,,,73.37599182,,,,,,,152.2064385,,,,,,,,,84.77886963,,,111.1405983,
1985,5,,,,,75.60223389,,,,,,,179.6547067,,,,,,,,,98.05365753,,,130.9460701,
1985,6,,,,,43.14036942,,,,,,,84.94677032,,,,,,,,,119.5971451,,,103.2694615,
1985,7,,,,,73.39828491,,,,,,,112.1711433,,,,,,,,,111.4151077,,,141.3506939,
1985,8,,,,,91.57682037,,,,,,,122.1325985,,,,,,,,,111.2470093,,,139.7367665,
1985,9,,,,,80.44557953,,,,,,,60.29517258,,,,,,,,,111.1844635,,,123.322968,
1985,10,,,,,92.56246185,,,,,,,83.16821964,,,,,,,,,93.09910583,,,103.2457678,
1985,11,,,,,57.9124794,,,,,,,106.0412667,,,,,,,,,85.09912872,,,115.4347259,
1985,12,,,,,65.7647934,,,,,,,179.9916884,,,,,,,,,104.1772156,,,105.0577358,
1986,1,,,,,91.10531616,,,,,,,117.8317971,,,,,,,,,144.2664795,,,110.8499388,
1986,2,,,,,96.96870422,,,,,,,63.36072407,,,,,,,,,118.9935379,,,116.8797744,
1986,3,,,,,86.90678406,,,,,,,107.8716528,,,,,,,,,120.1600494,,,101.0462956,
1986,4,,,,,69.22338104,,,,,,,116.2205323,,,,,,,,,102.477356,,,109.6209319,
1986,5,,,,,93.35433197,,,,,,,106.3464405,,,,,,,,,132.3861694,,,104.091582,
1986,6,,,,,58.49302673,,,,,,,88.21485808,,,,,,,,,115.0522919,,,143.1792856,
1986,7,,,,,85.99984741,,,,,,,29.46203385,,,,,,,,,130.8210602,,,157.5901109,
1986,8,,,,,91.52786255,,,,,,,66.03890852,,,,,,,,,118.302597,,,128.8229636,
1986,9,,,,,119.6902313,,,,,,,56.91179541,,,,,,,,,125.8942184,,,97.67646122,
1986,10,,,,,76.77757263,,,,,,,152.7718549,,,,,,,,,91.82046509,,,94.72961374,
1986,11,,,,,64.25985718,,,,,,,80.18120308,,,,,,,,,98.32894135,,,103.2240438,
1986,12,,,,,78.6656189,,,,,,,77.09731065,,,,,,,,,87.97968292,,,129.7491722,
1987,1,,,,,74.6827774,,,69.95834351,,,,183.992081,,69.19361549,,,,,,,110.4333191,,,118.9743565,
1987,2,,,,,67.59733582,,,60.32131958,,,,63.34183579,,91.55809836,,,,,,,76.96607208,,,79.89761095,
1987,3,,,,,36.30467606,,,97.61026764,,,,83.96213968,,91.49567031,,,,,,,99.05958557,,,97.2852674,
1987,4,,,,,70.42708588,,,77.49410248,,,,85.79280814,,94.53396307,,,,,,,79.53235626,,,97.04760533,
1987,5,,,,,81.23486328,,,58.17476654,,,,55.63036737,,75.15882342,,,,,,,87.58505249,,,93.81301261,
1987,6,,,,,72.81967163,,,87.84770203,,,,54.34970921,,84.46381613,,,,,,,106.5728531,,,97.48987556,
1987,7,,,,,61.87545776,,,41.39510727,,,,29.08695252,,61.07329716,,,,,,,81.38941193,,,93.98064302,
1987,8,,,,,28.5368557,,,46.29237747,,,,63.6168228,,45.98931525,,,,,,,52.7901535,,,109.7893555,
1987,9,,,,,59.65667343,,,43.1730423,,,,52.51611176,,61.20195803,,,,,,,59.86959457,,,102.8173115,
1987,10,,,,,125.1819305,,,121.7726364,,,,78.05076093,,98.01814524,,,,,,,170.3220673,,,113.2178683,
1987,11,,,,,137.5159149,,,152.8100281,,,,176.060762,,106.4818855,,,,,,,183.1025238,,,111.7313667,
1987,12,,,,,117.4072266,,,94.86508179,,,,89.07777592,,96.67090677,,,,,,,149.0111389,,,107.4404814,
1988,1,,,,,88.00508118,,,102.4827957,,,,127.0434608,,62.09017624,,,,,,,142.8728485,,,120.0014694,
1988,2,,,,,74.21217346,,,80.3404007,,,,173.8079249,,54.33040853,,,,,,,102.0328903,,,104.0493849,
1988,3,,,,,57.29201889,,,92.95789337,,,,55.59397911,,54.16856337,,,,,,,82.35363007,,,108.6720271,
1988,4,,,,,61.04705429,,,80.0402832,,,,147.9873159,,50.37677059,,,,,,,97.85680389,,,89.69081053,
1988,5,,,,,48.37898636,,,88.56708527,,,,80.5866706,,50.68850787,,,,,,,99.12745667,,,94.48304585,
1988,6,,,,,43.19214249,,,80.08071136,,,,82.87058821,,58.82876115,,,,,,,88.28594971,,,98.48838138,
1988,7,,,,,56.56837845,,,54.9803009,,,,79.81975513,,62.79685861,,,,,,,80.83588409,,,113.0656146,
1988,8,,,,,82.51412201,,,84.88539886,,,,66.02271868,,67.28893116,,,,,,,94.88969421,,,136.8236886,
1988,9,,,,,62.38470459,,,89.29541779,,,,52.22568223,,50.51406968,,,,,,,85.35681152,,,118.3289293,
1988,10,,,,,61.03735733,,,63.32862091,,,,25.89327177,,58.18465996,,,,,,,98.25379944,,,91.93493505,
1988,11,,,,,123.8536987,,,101.4379196,,,,101.5558314,,76.83879054,,,,,,,102.2340012,,,113.7354389,
1988,12,,,,,57.62167358,,,75.76390076,,,,99.5689729,,58.71315593,,,,,,,77.82810211,,,90.05173152,
1989,1,,,,,47.27500534,,,58.82336044,,,,119.0698729,,72.77580802,,,,,,,87.42640686,,,99.70188221,
1989,2,,,,,40.65641785,,,58.72576141,,,,74.61554073,,68.54792737,,,,,,,51.35064316,,,94.05184008,
1989,3,,,,,69.56887817,,,58.7369957,,,,76.846361,,77.4780192,,,,,,,72.52325439,,,110.4618337,
1989,4,,,,,59.65726471,,,50.24378586,,,,113.7931119,,92.73761084,,,,,,,92.37982941,,,106.5756484,
1989,5,,,,,88.94496918,,,54.23666382,,,,75.32087492,,82.66073616,,,,,,,83.75286865,,,103.6337577,
1989,6,,,,,64.56142426,,,100.2526474,,,,96.83499517,,80.16879145,,,,,,,95.78630829,,,93.0398988,
1989,7,,,,,69.98061371,,,87.73609924,,,,25.83974075,,83.99613376,,,,,,,78.2565918,,,105.3559168,
1989,8,,,,,61.02228165,,,70.94529724,,,,85.700533,,79.69171772,,,,,,,83.10930634,,,88.37227669,
1989,9,,,,,59.10854721,,,79.52281189,,,,53.08023686,,84.14100181,,,,,,,74.69548035,,,100.4453413,
1989,10,,,,,76.84035492,,,91.5479126,,,,111.0717136,,66.62205592,,,,,,,76.44955444,,,112.8915677,
1989,11,,,,,75.00901794,,,108.7742157,,,,100.940707,,67.15518735,,,,,,,105.0474854,,,102.1174342,
1989,12,,,,,57.92606354,,,67.24018097,,,,28.99961624,,71.79549568,,,,,,,103.7966843,,,117.2485037,
1990,1,,,,,90.46779633,,,75.87445068,,,,87.5845788,,83.89078555,129.6386566,,,,,,92.32149506,,,138.3477684,
1990,2,,,,,77.06072998,,,113.9344482,,,,77.25615859,,101.1463534,73.56221008,,,,,,110.4462738,,,141.3108515,
1990,3,,,,,92.68954468,,,134.3750916,,,,98.95456429,,100.7146451,102.0125732,,,,,,104.4614105,,,110.8791118,
1990,4,,,,,109.2704544,,,96.06861115,,,,107.1373696,,91.77939817,118.5013733,,,,,,88.44817352,,,106.4820079,
1990,5,,,,,130.707428,,,63.14082718,,,,74.55445199,,94.94027467,45.04403305,,,,,,97.38793182,,,112.4524151,
1990,6,,,,,164.1713257,,,101.2841797,,,,51.11382924,,75.82292792,41.99311829,,,,,,100.8643417,,,106.2981535,
1990,7,,,,,88.38756561,,,63.8117485,,,,26.73379318,,84.31318123,55.29328918,,,,,,86.28017426,,,123.6967343,
1990,8,,,,,116.5748367,,,55.49462509,,,,116.0142988,,70.80543577,36.80561066,,,,,,139.3226929,,,144.3466115,
1990,9,,,,,118.0033646,,,157.4201508,,,,137.0132758,,109.9569369,38.59947586,,,,,,165.938446,,,113.836903,
1990,10,,,,,166.1151886,,,157.2135315,,,,157.8213826,,107.3217428,63.65452957,,,,,,137.6742401,,,130.1239628,
1990,11,,,,,148.1475525,,,123.071022,,,,50.96059196,,79.03817616,58.3523407,,,,,,152.4486084,,,122.9054012,
1990,12,,,,,123.4866943,,,119.058609,,,,170.1656606,,94.08198537,48.80547714,,,,,,134.0615387,,,120.4711448,
1991,1,,,,111.8543777,182.0740814,,,102.561203,,,,162.6538822,,83.25209518,78.89048004,,,,,,204.0105438,,,136.3667365,
1991,2,,,,146.8242188,129.9660645,,,120.2046127,,,,151.8366358,,84.68081362,65.68365479,,,,,,106.5180588,,,125.3643566,
1991,3,,,,124.6511993,145.0634003,,,129.1983032,,,,165.2899169,,78.75542151,65.23986816,,,,,,107.9374847,,,94.9684376,
1991,4,,,,153.1076813,128.0671234,,,120.8372803,,,,56.95756284,,78.35772535,52.1923027,,,,,,93.01464081,,,106.7084048,
1991,5,,,,119.1042023,92.58368683,,,116.2811356,,,,128.932153,,77.67961603,34.96854019,,,,,,82.14782715,,,103.0608616,
1991,6,,,,63.61285782,93.47290039,,,149.964325,,,,143.3159235,,61.22757601,46.4342804,,,,,,85.91903687,,,109.0406244,
1991,7,,,,86.64367676,90.35232544,,,98.35049438,,,,134.7540513,,73.41780594,29.3201828,,,,,,80.64899445,,,150.5863875,
1991,8,,,,68.60401917,76.42750549,,,97.80922699,,,,92.24899631,,85.5330056,127.9773941,,,,,,99.12208557,,,132.2282144,
1991,9,,,,79.24053955,115.7734451,,,76.76366425,,,,58.81804517,,82.7515861,84.74686432,,,,,,127.2944412,,,129.1572425,
1991,10,,,,136.5848846,133.4071198,,,128.8790588,,,,144.7412726,,81.36682933,38.97079849,,,,,,108.1209641,,,114.323904,
1991,11,,,,143.6332855,112.8911514,,,99.0020752,,,,80.06035726,,84.01659669,142.0084991,,,,,,140.6123657,,,118.981835,
1991,12,,,,59.77562332,137.7946625,,,103.4796829,,,,182.4386275,,87.48674163,152.4228516,,,,,,171.0109711,,,140.8488192,
1992,1,,,,67.27913666,127.4257736,,,64.89086914,,,,153.8373792,,85.28573738,68.06641388,,,,,,116.3648529,,,118.3791022,
1992,2,,,,76.46195984,114.8891602,,,73.68727875,,,,117.311353,,78.38382278,35.32372284,,,,,,154.5969238,,,124.9244648,
