year,deflactor
1993,10.878513142
1994,11.784666169
1995,16.377916813
1996,20.715007971
1997,24.382711045
1998,28.241170176
1999,32.563558441
2000,36.057503218
2001,38.395701842
2002,40.492280966
2003,42.238251403
2004,45.657635979
2005,48.343532226
2006,51.298539362
2007,54.441026279
2008,57.881234480
2009,60.907503777
2010,63.577265350
2011,67.163616309
2012,70.241829256
2013,71.440608588
2014,74.553328240
2015,76.953976330
2016,81.612229633
2017,86.998389549
2018,91.521085701
2019,95.430740310
2020,100.000000000
2021,104.553215654
2022,111.280540819
2023,116.274106723
2024/e,121.041345099
