state,01/01/10,01/02/10,01/03/10,01/04/10,01/05/10,01/06/10,01/07/10,01/08/10,01/09/10,01/10/10,01/11/10,01/12/10,01/01/11,01/02/11,01/03/11,01/04/11,01/05/11,01/06/11,01/07/11,01/08/11,01/09/11,01/10/11,01/11/11,01/12/11,01/01/12,01/02/12,01/03/12,01/04/12,01/05/12,01/06/12,01/07/12,01/08/12,01/09/12,01/10/12,01/11/12,01/12/12,01/01/13,01/02/13,01/03/13,01/04/13,01/05/13,01/06/13,01/07/13,01/08/13,01/09/13,01/10/13,01/11/13,01/12/13,01/01/14,01/02/14,01/03/14,01/04/14,01/05/14,01/06/14,01/07/14,01/08/14,01/09/14,01/10/14,01/11/14,01/12/14,01/01/15,01/02/15,01/03/15,01/04/15,01/05/15,01/06/15,01/07/15,01/08/15,01/09/15,01/10/15,01/11/15,01/12/15,01/01/16,01/02/16,01/03/16,01/04/16,01/05/16,01/06/16,01/07/16,01/08/16,01/09/16,01/10/16,01/11/16,01/12/16,01/01/17,01/02/17,01/03/17,01/04/17,01/05/17,01/06/17,01/07/17,01/08/17,01/09/17,01/10/17,01/11/17,01/12/17,01/01/18,01/02/18,01/03/18,01/04/18,01/05/18,01/06/18,01/07/18,01/08/18,01/09/18,01/10/18,01/11/18,01/12/18,01/01/19,01/02/19,01/03/19,01/04/19,01/05/19,01/06/19,01/07/19,01/08/19,01/09/19,01/10/19,01/11/19,01/12/19,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/01/21,01/02/21,01/03/21,01/04/21,01/05/21,01/06/21,01/07/21,01/08/21,01/09/21,01/10/21,01/11/21,01/12/21
          Estados Unidos Mexicanos,93,88.7,96.8,94.8,95.1,95.1,95.2,95.7,95,97.5,95.4,94.7,94,90.7,98.2,94.3,97.7,98.6,97.7,99.2,97.1,101.7,101.4,98.8,97.4,96.6,101.7,97.3,102.2,100.9,101.9,102,99.7,103.7,102.5,96.8,99.1,96.2,98,99.9,102.5,98.6,100.6,101.8,98.3,104.8,101.8,98.2,100.1,97.5,103.5,100.7,105.1,102.9,103.2,102.8,102,107.8,103.7,101.5,101.7,99.3,104.3,101.7,103.6,103.9,105.7,105.4,105.6,107.5,103.8,101.9,102.7,102.5,103.3,103.8,104.9,104.8,103.5,105.7,103.4,105.9,106.1,101.8,103.5,100.4,108,99.8,105.5,105.5,102.9,106.2,101.7,105.8,104.8,101.1,105,101.1,104.2,104,107.5,106.3,104.7,106.8,103.6,106.6,103.2,97.9,104.5,101,104.2,100.9,103.9,103,103.1,105.3,101.6,102.9,100.9,96.7,103.8,100,99.7,72.1,72.5,86.3,91.5,95.7,95.8,99.2,96.7,94.5,97.6,94.8,101.1,97.4,98.9,98,98.8,101,97.2,99.9,98.3,97.3
          Aguascalientes,88.9,83,84.8,86.6,83.7,88.4,93.3,87.6,90.6,95.6,84.8,78.8,83.1,81.9,92.2,82.1,90.7,95.6,84.3,89.7,92.5,98.4,95.2,89.2,94.2,94,95.4,90.6,96.2,95.3,96.2,97,94.9,104.7,106.4,85.2,102.2,94.1,94.7,105.8,105.6,96.3,93.2,110.3,100.7,103.2,99.3,94.5,104.6,108.2,139.8,115.1,126.5,107.9,108.7,125.9,117.6,132.4,120.8,114.8,120.6,116.7,123.9,121,121.2,117.5,112.7,125.1,119,128.9,121.9,113,121.2,127.1,125.8,127.5,125,140.5,122.1,139.2,125,137.4,135.5,117.1,128.6,134,142.1,120,137.3,136.1,113.6,144.8,130.7,136.9,132.2,112.3,142.9,134.4,136.4,123.9,136.7,137.1,116,145.5,135.4,147.1,144.1,121.5,124,129,133.4,129.7,140.2,137.1,121.6,139.6,132.5,148,136,113.2,128.7,127.8,108.8,64,65.5,112.2,111.8,129.3,135.6,150,138.3,122.3,131.1,123.4,137.2,118,118.2,112.6,109.3,117.5,103.5,127.1,108.8,103.6
          Baja California,89.6,90.8,99.4,97.3,99.7,99.2,101.1,99.2,100.3,99.4,95.3,95,94.2,92.2,98.5,93.8,92.5,95.3,102.8,98.3,98.4,101.5,100.3,93.2,94.1,93.1,95.6,96.5,101.2,102.2,105.5,104.4,103.5,102.8,103.7,92.8,97.5,95.1,98.4,100.9,102.1,99.4,104.6,101.6,101.5,103.3,100,95.7,98.4,95,102.1,98.1,102.1,107,108.4,106.1,109.9,113.6,107.9,104.9,108.8,108.2,112.8,111.1,112.6,116.1,120.7,112.1,125.3,125.6,118.5,111.1,110.6,113,115.2,116.4,117.3,120.4,124.8,126.2,123.4,125.3,126.4,115,113.7,110.8,121.9,117,124.3,125.7,122,130,130.3,129.5,127.9,120.1,119.3,119.9,123.7,125.1,131.5,127.9,128.1,133,127.1,133.2,129.6,120.3,130.6,129.6,130.5,127.2,130.8,128,130.4,135.3,132.9,135.5,127.5,119.6,128.2,128.3,125,86.3,92.2,110.5,131.7,140.5,140.5,147.6,140.2,134.2,136.1,133.9,138.4,140.8,138.3,139,151.5,143.9,137.6,146,144.7,139.6
          Baja California Sur,151.5,113.8,98.7,101.1,115.1,119.6,119.2,101.2,94.8,106.2,109.5,102.5,139.3,104.1,110.5,118.7,97.8,122.4,106,102.8,121.9,112,108.4,106.2,97.2,102.9,99.9,127.7,136.3,91,103.1,105.2,97.3,104.2,125,90.3,94.9,90.1,95.9,95.5,105.9,93.4,104.1,102.7,98.2,105.9,96.4,117,107.1,94.2,89.6,86.4,85.4,91.3,86.7,85.9,95.9,98.7,105.3,106.3,101,123.3,168.9,181,96,111.7,116,130.5,120.2,135.7,111.6,115.2,101.1,103.7,112.4,114.9,108.1,108,112.7,127.8,137.3,130.8,147.2,123,111.4,97.9,100.7,120.8,117.4,189.4,186.7,169.4,211.9,168.2,162,183.9,203.4,182.9,131.1,201.7,195.7,277.9,256.1,219.5,313.1,196.5,167.8,185.7,135.9,105.4,116.8,161.9,142.4,173.2,171.1,163.8,198.1,159,146.9,130.5,108.3,91.4,88.5,77.6,66.8,84.9,121.3,104.2,117.1,112.1,106.3,99.5,91.3,86.4,84.2,102.6,103.8,132.1,102,106.5,100.3,94.1,93.6,95.2
          Campeche,112.8,101.4,110.2,106.9,109.7,105.3,107.7,104.8,104.9,107.1,100.7,104.6,108,96.4,108.7,103,104.4,98.7,99.9,101,94.5,100.9,99.5,103.2,100.8,93.7,101.3,96.8,100.5,97.1,99,101.1,98.9,100.3,99.5,102.2,104.9,93,102.5,99.2,101.3,99.3,101.7,101.2,97.7,101.4,97.6,100.2,102,91,100.5,97.2,95.9,91,92.4,93.8,90,93.8,90.7,92.8,91.8,86.9,93.8,83.2,86.3,84.4,87.3,87.8,83,84.8,82.8,86,84.6,83.6,87,79.8,82.6,78.9,81.8,82.7,77.8,80.9,76.5,76.9,83.5,69.1,74.1,72.4,73.8,72.3,72.3,72.8,58.6,70.5,67.8,69.3,72.7,65.1,71.1,70.1,71.2,68.1,70.8,70.5,71.2,70.1,66.3,69.7,67.7,64,69.9,67.8,69.3,66.9,68.7,70.8,67.3,66.4,66.3,69.6,70.2,64.6,67.5,64.1,63.4,59.6,60.5,62.9,61.5,62.6,60.9,63.1,64.4,60.2,63.2,61.8,62.6,59.1,59.9,58.8,58,59.2,56.7,57.6
          Coahuila de Zaragoza,81.7,82.3,90.7,90.4,95,94.3,86.5,97.6,95.4,96.7,94.4,92.3,96.4,92.7,104.7,99.2,99.7,98.2,96.4,101.6,100.3,106,103.1,95.4,103,101.6,108.9,106,113.5,109.9,103,111.1,104.1,109.4,103.1,91.2,93,95.4,96.6,103,102.3,97.6,99.5,101.9,101.6,113.4,103.5,92.2,100.6,102.9,106.3,105.9,105.7,109.3,108.2,101.9,106.5,113.9,105.2,98,95.3,100.2,103.9,104,103,106.3,104.7,109.2,107.7,112,106.6,95.7,104.4,101.5,102.9,104.7,101.4,103.4,99.9,106.2,106.8,108.5,109.2,102,108.1,107,112,107.8,112.7,114.3,109.4,112.9,114.2,117.8,116.3,103.5,108.3,107,113.5,110.6,114.3,114.9,109.6,116.1,107.1,115.3,109.7,100.3,105.2,101.8,109.8,108.6,117,108.1,114.6,116.1,108.6,109.1,106.4,92,99.5,95.4,92.9,58.6,60.9,90.8,96.8,97,102.1,107,101,94.2,100.2,86.3,108,101.6,95.1,108.4,102.2,100.8,93,102.6,100.5,94.2
          Colima,95.9,90,85.6,82.3,78.8,80,80.3,79.3,84.6,94.2,92.7,95.9,90.5,91.5,105.2,96.6,109.6,107.5,94.1,107.6,96,92.7,93.3,95.5,80.9,87.1,110,102.5,115.2,116.7,94.7,96.7,91.5,93.4,105.4,105.4,82.9,97.7,95.2,107.6,103.7,97.4,95,96.8,111.8,106.2,105,100.6,101.7,103.8,105.4,99.7,98.8,94.4,89.9,88.8,87.6,105.5,94,98.7,86.6,95.6,101.9,94.7,95,95.7,96.4,98.9,101.4,106.3,105.2,117.8,100.8,95.8,104.6,104.6,107.7,96.3,96.3,94.3,99.7,104.4,96.9,100.1,89,97.7,96.7,96.5,108.3,95.9,95.9,99.4,99,98.1,102.5,105.8,84.3,94.8,93.2,103.2,109.3,105.8,92.2,100.8,93.3,94,94.8,98.7,94.8,115.5,103.2,112.9,122.7,104.7,107.1,114.2,117.2,131,117.2,116.4,98.9,138.6,105.2,93.1,96.7,81.8,82.5,91,86.2,91.7,88.5,90.8,85.4,91,92,87.3,93.3,84,87.7,85.4,84.1,92.1,89.9,97.4
          Chiapas,98.3,88.5,100.3,102.9,105.6,106.1,110.6,128.1,135.1,125.1,106.2,115.2,101.9,100.3,107.3,105.8,115,115.2,107.9,115.7,119.3,112.4,114.3,114.2,107.5,107.5,106.9,107.6,110.4,103.3,105.4,116.1,121.4,120.5,113.3,117.9,95.1,84.9,90,92.8,93.9,91.9,98.1,95.6,104.6,122,115.2,116.1,114.7,108.8,118.9,106.5,103,106.1,114.3,107.9,101.3,104.3,104.3,105.3,100.8,96.6,95.3,97.5,101.9,93.7,104.4,106.5,101.4,98.9,91.5,105.3,93.2,87.6,98.2,92.4,99.2,97.6,98.1,91.7,86.4,86.2,84.3,81.8,78.8,76.6,85,90.8,81.9,82.6,75.8,72.3,76,77,73.5,71.7,69.6,67.8,71,77.8,79.2,80,73.1,68.6,66.7,63.2,63,60.9,60,65.2,61.9,62,67.6,59.3,60.4,60.7,57.8,61.9,59.4,59,58.7,56.5,58.3,54.2,54.5,59,61.8,66.9,64.4,62.4,59.2,64.9,69.4,70.4,73,79.1,79.8,71.2,68.5,66.4,62.6,61.5,63.1,68.1
          Chihuahua,81.8,81.2,84.4,83.3,82.7,85.3,83.1,84.2,82.6,83.1,80.5,78.4,76.3,73.7,82.4,80.6,83.6,87,80.6,84.3,83.4,89.2,89.5,86.5,89.2,91.1,93.7,89.1,95.7,97.5,93.8,97.9,96.3,97.4,96.3,94.8,96.1,94.1,96.6,99.7,115.9,102.8,97.6,99.7,98.8,102.3,101,95.3,99.9,96.3,100.1,99.9,102.2,112.4,106,102.5,103.2,105.3,99.2,100,99.8,107.1,105.2,102.5,110.5,106.8,108.6,108,108.8,113.4,112.2,106.1,108.4,110.6,112.8,113.8,113.6,116,114,118.5,116.8,120.5,119.9,111.6,116.1,116,124.9,116.7,119.2,119.9,115.4,120.5,118.7,117.8,116.5,107.3,115.4,112.1,121.1,116.8,119.7,119.9,117.5,120.4,119,122.7,119.7,115.1,123.6,122.9,126.9,125.4,122.8,125.2,122.3,123.4,119,121.8,118.1,112.3,121.4,117.3,126.1,85.3,85,109.4,113.4,119.9,120,120.5,118.9,116.2,123.1,117.9,126.8,123.1,125.4,123,125.7,126.2,122.5,123.3,117.4,111.3
          Ciudad de México,92.3,96.1,102.1,98.9,95.4,94.1,95.5,98.2,98.2,99.4,103.2,98.5,90,93.5,94.8,93.9,103.5,108.7,100.4,109.6,103.9,113.1,112,105.4,97.7,99,105,97.4,103.1,106.5,112.1,110.8,112.6,115.3,110.1,98.6,97.7,99.5,95.3,96.7,102.4,103.3,100.8,98.1,96.3,109.4,102.2,98.4,93,100.3,105.3,97.6,106,102.3,104,103.8,104.4,111.4,112.2,108.5,96.7,94.8,101.4,94.1,95.6,99.2,102,98.2,96.4,100.4,100.4,95.9,93.1,94.8,101,104.4,100.3,96.9,106.1,102.1,104.5,110.5,113.8,107,103,102.7,109.4,102.1,101.6,102.8,104,109.4,97.6,107.9,107.8,99.7,104.1,103.7,103.1,107.3,105.3,105.5,105.5,102.9,97.9,108.7,107.3,100,100.2,98.9,101.2,98.2,94.9,97.1,104.3,103.3,97.1,107.3,107.7,106.4,101.5,99.4,104.1,73,66,74.5,81.3,84.4,84.2,89.8,91.9,90.5,88.8,89.6,92.3,89.9,91.9,92.4,95.8,95.6,92.9,97.9,95.7,93.9
