state,01/01/10,01/02/10,01/03/10,01/04/10,01/05/10,01/06/10,01/07/10,01/08/10,01/09/10,01/10/10,01/11/10,01/12/10,01/01/11,01/02/11,01/03/11,01/04/11,01/05/11,01/06/11,01/07/11,01/08/11,01/09/11,01/10/11,01/11/11,01/12/11,01/01/12,01/02/12,01/03/12,01/04/12,01/05/12,01/06/12,01/07/12,01/08/12,01/09/12,01/10/12,01/11/12,01/12/12,01/01/13,01/02/13,01/03/13,01/04/13,01/05/13,01/06/13,01/07/13,01/08/13,01/09/13,01/10/13,01/11/13,01/12/13,01/01/14,01/02/14,01/03/14,01/04/14,01/05/14,01/06/14,01/07/14,01/08/14,01/09/14,01/10/14,01/11/14,01/12/14,01/01/15,01/02/15,01/03/15,01/04/15,01/05/15,01/06/15,01/07/15,01/08/15,01/09/15,01/10/15,01/11/15,01/12/15,01/01/16,01/02/16,01/03/16,01/04/16,01/05/16,01/06/16,01/07/16,01/08/16,01/09/16,01/10/16,01/11/16,01/12/16,01/01/17,01/02/17,01/03/17,01/04/17,01/05/17,01/06/17,01/07/17,01/08/17,01/09/17,01/10/17,01/11/17,01/12/17,01/01/18,01/02/18,01/03/18,01/04/18,01/05/18,01/06/18,01/07/18,01/08/18,01/09/18,01/10/18,01/11/18,01/12/18,01/01/19,01/02/19,01/03/19,01/04/19,01/05/19,01/06/19,01/07/19,01/08/19,01/09/19,01/10/19,01/11/19,01/12/19,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/01/21,01/02/21,01/03/21,01/04/21,01/05/21,01/06/21,01/07/21,01/08/21,01/09/21,01/10/21,01/11/21,01/12/21
          Estados Unidos Mexicanos,101,90.7,94.1,98.6,91.5,91.9,97.1,91.5,94.4,98.9,96.1,98.8,94.2,90.6,90.4,95.6,96.2,100.5,101.9,100,99.6,104.9,108.9,107.8,96.4,97.1,96.2,99.1,102,98.1,108.4,102,104,106.4,107.9,101.6,95,99.6,94.4,98.8,103.7,95.4,100.3,99.3,98.7,103.7,105.3,106,92.6,100.2,98.9,101.7,103.9,101.6,101.4,101.2,102.8,109.2,109.1,109,96.8,98.4,99.4,104.1,103,102.8,111.4,107.2,111.7,105.1,108.4,108.8,100.8,104.6,102.4,106.1,107.2,105.6,107.3,103.9,107.1,107.7,115.1,109.9,101.6,104,105.9,100.3,103.2,106.2,105.9,104.9,109.3,108.2,109.3,114.3,106.1,108.8,104.4,106.9,108.9,108.1,110.1,101.8,106.4,106.6,101.6,105.7,109,110,102.9,102.5,98.2,100.8,100.4,98.8,97,95.4,97.5,100.7,98.5,99.1,94.9,63.1,62.9,74.4,77.1,85.6,81.5,86.1,88.7,87.8,87.4,93.6,89,89.8,90.3,85.3,88,93.2,88.3,88.6,88.2,90.2
          Aguascalientes,108.2,91.3,87,93.8,90.9,94.5,108.4,104,96.9,104.5,77.4,78.8,80.5,82.9,92.6,107.1,95.2,100,95.4,90.6,96.5,102.1,98.7,97,95,96.5,90.7,104.2,99.7,92.9,104.2,104.6,109.6,115.2,122.7,92.9,104.4,91.8,94.5,115.1,117.8,91.8,92.1,117.1,101.2,85.1,88.9,100.2,83.4,90,165.9,122.5,127.9,85,99.3,125,101.8,121.6,104.3,118.2,101.5,105.2,115,121.1,98.8,96.5,95.9,104.5,96.8,98,103.4,115.2,97,115.8,113.8,111.9,111.5,139.7,126.6,129.4,121.4,108,118.5,114.5,124.2,128.6,115.7,102.5,109.3,107,107.3,126.1,121.9,117.6,122.7,128,113.3,126.4,114.9,110.1,117.5,106.7,106.6,121.1,109.1,115.9,116.9,120.9,118.7,112.2,103.2,107.6,99.5,98.3,101.6,105.5,96.9,103.2,108.1,104.9,105.1,101.2,81,88.8,84.7,84.1,89.8,100.5,98.8,93.7,95.9,96.9,104.6,97.7,88.9,87.9,90.5,71.6,83.1,96.3,83.3,97.7,86.2,95.4
          Baja California,107.7,99.1,101.1,102.8,97.3,101.4,106,96.3,102.4,97.3,86,92.1,101.9,95.1,100.1,101.9,97.5,90.9,114.9,99.4,102.2,106.4,105.7,95.7,96.4,91,84.3,100.6,99.9,99.4,116.7,103.5,109.5,106.1,116.8,97.7,99.1,102.4,101.4,103.8,106.7,95.6,108.8,98.3,99.8,95.3,95.3,93.6,90.8,88.2,93.9,89.3,91.7,98.8,93.3,89.3,94.3,101.8,92.6,96,98.6,94.8,96.8,105,100.6,96.7,107.3,97.7,120.5,108,102.7,98.7,93.6,99.5,97.8,102.8,103.7,102.6,120.8,109.3,107.2,109.3,115,105.1,97.2,94.4,105.2,104.9,111.1,113,110.4,117.9,129.2,119.4,118.4,125.4,113.3,114.3,108.2,111.8,119,104.4,110.3,102.7,107.5,107.5,104.9,110,113.2,115.8,103.7,112,109.6,101.5,99.4,101.7,106.9,102.7,104.2,110.2,109.1,108.4,102.5,69.5,69.9,83.1,85.4,104.6,93.6,106.5,114.8,116.3,101.6,109.2,95.2,109.9,109.5,97.4,101.6,100.5,99,98.8,103.3,123.9
          Baja California Sur,190.9,135.7,109,115.9,133.3,137,137.2,109.5,98.8,118,123.9,114,166.2,117.6,121,137.5,103.7,137.7,113.2,107.1,134.4,118.6,117.6,115.8,104.7,116.8,107.9,150.8,160,93.7,111.4,113.1,103.2,112,143.3,95.8,95.9,90.8,97.8,95.7,109.2,89.7,103.7,101.2,97,103,92.9,122.9,109.9,92,82.2,78.4,72.8,79.5,70.5,70,92.9,94.6,104,108.5,101.6,135.2,199.1,218,89.2,111.9,114.2,134,122.2,143.1,110.6,119.4,98.5,101.3,113.3,114.2,102.5,101.8,104.9,128,143.4,132.5,160.6,129.9,112.8,95.6,95,126.4,119.6,223.3,215.2,188.2,254.2,188.6,181.2,217.4,246.8,221.3,142.6,243.4,231.2,351.5,315.9,261.5,399.8,231.7,191.4,222.5,150.3,108.1,120.9,187.1,155,197.5,191.4,180,231.2,173.5,159.9,138.5,108.1,84.8,80.1,67.6,48,70.2,117.9,93.1,111.3,103.6,100.3,95.5,86.3,79.9,73.5,100.5,97.4,137.4,90.3,97.3,89.9,81,81.6,88.7
          Campeche,103,90.7,90,100.1,92.2,114.6,124.7,80.5,127,132,124.8,105,113.2,96.2,115.4,105.6,97.1,86.3,81.6,80.7,90.5,83.3,119.2,124.3,104.5,78.4,97.8,97.5,96.5,93.5,94.6,96.9,114.6,102.6,112.7,116.6,115,94.8,111.1,107.4,99.7,97.9,115.1,82.6,90,89.6,95.9,101.1,74.6,72,87,110.6,67.8,67.9,73.1,65.8,69.3,77.7,81,89.7,70.4,80.5,77.9,68.9,72.5,72.3,75.7,81.6,71.3,58.9,68.4,84,57.2,67.2,57.7,63.9,65.2,58.2,70.4,64.6,59.9,62.4,61.2,59.9,44.4,42,48.6,49.2,45.7,48.4,46.1,47.7,50.1,48.8,47.1,48.4,40.3,36.5,38.4,43.3,43.9,45.5,45.9,45.3,51.8,50.6,39.2,44.4,43.2,40.4,37.1,44.1,41.6,40.5,37.5,44.2,45.9,43.6,43.7,43.9,43.6,39.3,33.1,20.2,15.8,21.1,24.6,31.1,35,44.3,48,45.7,39,36.3,29,37.1,42,38.7,36.2,43.9,38.2,42.6,34.6,35.3
          Coahuila de Zaragoza,108.3,98.6,95.8,105.2,100.2,97.3,89.1,111.9,109.3,100.9,112.5,130.5,121,112.7,105.7,109.7,100.7,112.6,112.7,116.9,117.9,122,116.2,127.8,112.5,103.1,114,114,129.1,120.3,116,123,111.8,122.1,118.6,121.5,100.4,103.7,94.9,102.8,101.2,97.1,93.3,93.9,101.3,108.3,100.4,102.6,85.9,119.8,104.1,97.7,100.8,112,107.8,117.2,132.3,133.3,128.5,120.5,94.2,100.5,91.5,101.4,106.7,113.3,118.3,139.6,130.7,134.5,153.1,121.5,108.1,123.1,132.4,116.6,115,115.2,117,123,134.1,134.2,152.4,158,141.4,157.1,171.6,172.3,162.6,168.1,161.6,154,178.1,168,151.6,144.5,127.8,134.2,143.5,152.6,141.5,140.7,126.4,118,121.6,142.1,118.9,128.4,116.9,116.6,123.4,124.7,141.5,126.1,115.1,105.5,117.7,116,113.5,109.3,91.5,91.4,91.9,92.3,83.9,99.2,91.1,97,125.1,111.4,116.4,103.6,100.2,106.8,106.2,109.2,108.6,108.5,104.5,109.6,108.6,113.7,106.7,96.6
          Colima,107.3,108.1,88.6,81.6,72.9,76.3,83.9,86.4,95,111,108.6,111.8,103.9,106,120.4,106.2,126.2,123.4,104.2,123.2,104.7,99.9,103.3,109.1,77.2,92.6,123.8,110.7,123.6,136,96,98.6,89.3,90.4,116.6,122.5,79.7,97.5,87.2,110.1,97,93.5,95.3,97.1,112.9,113.5,114.3,102,91.9,91.3,99.1,84.5,85.4,80.6,79,78.2,84.2,98.9,97.1,98,68.5,78.2,79,84.5,84.7,87.8,94,88.7,91.9,102.5,95.8,110.3,80.8,88,87.5,87.6,94.9,86.4,91.3,89.8,102.9,104.6,96.7,94.5,71.8,88.7,83.4,86.9,93.2,80.1,73.5,76.5,85.4,90.8,98.7,94.7,58.6,75.2,70.9,82.5,94.4,82.2,67.1,67.2,68.2,80.4,80.6,83.9,72.7,107.8,83,93.4,109,85.4,92.6,96.2,116.3,131.7,127.3,112.7,87.6,155.1,98.9,79.9,81.8,61.7,65.8,66.8,68.8,85.3,86.8,82.1,69.6,88.5,81.1,77.8,85.2,70.4,75.7,74.3,75.2,97.3,91.8,85.6
          Chiapas,112.1,96.5,104.2,122.7,127.2,128.2,106.8,167.9,165.6,147.8,97,122.4,84.7,100.4,100.9,108.4,133.5,138.8,109.7,124.1,140.4,114.9,120.5,132.5,114.2,114.6,106.9,121.9,119.5,106.5,102.9,135.1,176.8,156.4,141.8,144.7,82.1,69.3,82.3,86.1,81.5,80.1,89.9,79.1,111.9,147.6,152,138.1,123.6,112.9,113.3,92.5,83.7,93.6,99.9,92,101.4,111.9,117.4,119.1,107.3,107.9,84.2,90.9,96.6,95.8,132.8,132.1,119.9,99.5,93.9,127.8,98.4,91.9,90.5,82.4,97.7,103.2,121.5,104.5,105.1,100.9,105.6,101.2,103.7,95.6,93.8,122.7,79.6,82.8,75.2,72.4,80.4,84.2,70.4,73.7,68.8,67.8,74.3,93,80,78.8,72.4,69.8,78.6,66.3,71.1,71.1,63.1,87.1,66.7,72.6,69.2,66.2,52.4,58.6,62.6,60.1,61.1,60.4,57.2,58.6,49.9,38.8,39,45.7,51,63.6,59.8,64.5,54,59,66.1,76,67,78.8,75.8,64.9,56.3,61.4,52.9,54.8,59.4,62.8
          Chihuahua,106.9,102.7,93.7,98.8,92.8,99.2,93.9,94.2,87.6,91,85,90.5,83.5,70.5,77,83,90.8,90.3,81.3,85.1,75.6,94.9,96,93.1,87.1,90.6,80.1,80.1,96.6,100.2,91.2,99.7,91.9,93.8,96.5,103.3,103.2,95,94.8,97.1,119.8,106.4,90.2,100.7,96.2,97.2,99,100.5,101.9,94.5,93.8,101.6,104.4,143.8,114,95.9,98.8,98.1,100.1,108.5,98.5,134.9,98.7,103.6,134.5,109.1,115.2,111.4,108.2,119,137.2,124.5,116.6,121.5,116.3,123,118,118.8,124.8,115.9,124.4,121.2,143.1,122.4,116,114.9,113.4,110.4,103.7,111.7,110.8,112,123.8,103.7,103.3,100.6,84.5,90.3,100.9,86.9,87.8,95,93.4,88.4,89.6,88.8,86.2,97,115.5,126.2,115.3,116.3,101.2,114.9,101.5,98,93.9,95.8,95.7,99.9,101.8,94.9,124.8,68,67,84.8,83.1,92,85.8,86.1,88.5,88.3,93,87.2,86.4,84.2,74,75.5,73.3,81.2,84,76.5,73.9,80
          Ciudad de México,84.9,86.5,90.8,92.5,80.3,71.2,79.3,83.3,84.9,82.4,89.4,91.4,80.2,84.2,77.8,90.6,104.9,115,97.7,117.8,106.9,120.9,121.5,109.1,91.4,97.8,106.4,98.4,107.3,104.8,129.4,121.7,133.7,131.7,122.7,104.4,93.8,110.2,96.7,96.1,103,99.2,100.6,90.7,93,114.4,99.4,102.8,86.7,107.7,115.3,101.3,113.8,105.8,109.2,112.6,112.8,120.7,127.4,124.7,98.3,98.1,106.1,92.3,94.1,95,102,96.5,94.7,96.5,102.5,93.8,96.2,97,113.1,118.6,104.5,95.8,121.1,106.4,113.3,123.5,131.2,120.6,115.1,115.2,123.2,118.6,104.3,108.2,115,118.4,101.3,120.1,118.8,106.8,113.9,120.2,111.6,120.3,109.9,106.1,114.9,99.9,97.3,117,116.3,107.5,104.4,111.4,106.2,105.7,89.1,97.9,108.9,103.7,92.2,108,116.7,122.8,108.6,111.4,117.8,69.2,54.5,63.1,73.6,78.7,74.6,82.9,92.4,90.9,89.8,93.9,87.8,90.2,87.8,87.2,93,90.2,83.4,94.2,90.7,88.1
          Durango,86.5,91.1,93.3,85.6,89.4,92.7,87.5,68.9,70.2,83.8,82,103,105.4,113.1,134,101.8,92.3,95.8,93.8,87.9,89.5,97.3,118.7,134.6,83.1,91.3,86,86.6,113.3,101.7,89.3,88.3,91.4,117.9,104.8,95.8,102.9,116.8,103.9,93.9,92.5,89.8,88.4,91,96.8,104.6,106.2,113.1,111.2,112.6,112.7,135,130.9,124.7,99.5,99.6,120.4,109.8,128.1,117,92.9,94.6,84.1,94.1,102.4,103,108.9,96.7,106.4,104.4,114.2,118.7,111.1,116.6,93.5,105.2,107.7,118,110.6,123.7,114.6,124.2,127.5,124.4,112.1,130.8,122.6,110.6,118.7,123.2,117.4,121.2,107.6,95.4,90.9,92,95.6,97.2,106.1,100.7,97.4,106.7,103.9,103.5,112.2,136.5,105.8,108.5,119.5,112.6,121.4,108.7,108.4,137,121.6,115.6,110.5,106.9,98.9,99.2,100,81.3,98.3,68.3,54.1,78,85.4,96.6,96.2,79,76.4,74.6,83.7,95.2,108.1,106,93.3,103.6,89.3,90.3,82,80.3,81.7,80.6
