state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Estados Unidos Mexicanos,2010-01-01,94.74671669793622,87.24202626641652,72.25969645868466,134.1176470588235,106.6,106.6,118.6,76.5,0,0,1,-106
Estados Unidos Mexicanos,2010-02-01,85.08442776735461,83.20825515947467,72.68128161888701,122.22222222222223,106.6,106.6,118.6,76.5,0,0,2,-105
Estados Unidos Mexicanos,2010-03-01,88.27392120075046,90.80675422138837,80.94435075885329,135.16339869281046,106.6,106.6,118.6,76.5,0,0,3,-104
Estados Unidos Mexicanos,2010-04-01,92.4953095684803,88.93058161350844,77.318718381113,129.80392156862746,106.6,106.6,118.6,76.5,0,0,4,-103
Estados Unidos Mexicanos,2010-05-01,85.83489681050656,89.21200750469043,78.75210792580101,135.16339869281046,106.6,106.6,118.6,76.5,0,0,5,-102
Estados Unidos Mexicanos,2010-06-01,86.21013133208257,89.21200750469043,80.0168634064081,129.01960784313727,106.6,106.6,118.6,76.5,0,0,6,-101
Estados Unidos Mexicanos,2010-07-01,91.08818011257036,89.30581613508444,77.65598650927488,129.01960784313727,106.6,106.6,118.6,76.5,0,0,7,-100
Estados Unidos Mexicanos,2010-08-01,85.83489681050656,89.77485928705443,80.6070826306914,130.58823529411765,106.6,106.6,118.6,76.5,0,0,8,-99
Estados Unidos Mexicanos,2010-09-01,88.55534709193248,89.11819887429644,79.34232715008432,126.92810457516339,106.6,106.6,118.6,76.5,0,0,9,-98
Estados Unidos Mexicanos,2010-10-01,92.77673545966229,91.46341463414635,81.28161888701518,129.01960784313727,106.6,106.6,118.6,76.5,0,0,10,-97
Estados Unidos Mexicanos,2010-11-01,90.15009380863039,89.49343339587243,80.77571669477234,123.66013071895424,106.6,106.6,118.6,76.5,0,0,11,-96
Estados Unidos Mexicanos,2010-12-01,92.6829268292683,88.83677298311446,77.06576728499158,129.67320261437908,106.6,106.6,118.6,76.5,0,0,12,-95
Estados Unidos Mexicanos,2011-01-01,88.36772983114447,88.18011257035647,76.39123102866779,133.202614379085,106.6,106.6,118.6,76.5,0,0,13,-94
Estados Unidos Mexicanos,2011-02-01,84.9906191369606,85.08442776735461,75.96964586846543,120.78431372549021,106.6,106.6,118.6,76.5,0,0,14,-93
Estados Unidos Mexicanos,2011-03-01,84.80300187617262,92.12007504690433,84.14839797639124,135.16339869281046,106.6,106.6,118.6,76.5,0,0,15,-92
Estados Unidos Mexicanos,2011-04-01,89.6810506566604,88.46153846153845,77.23440134907251,129.281045751634,106.6,106.6,118.6,76.5,0,0,16,-91
Estados Unidos Mexicanos,2011-05-01,90.2439024390244,91.65103189493435,81.1973018549747,133.33333333333331,106.6,106.6,118.6,76.5,0,0,17,-90
Estados Unidos Mexicanos,2011-06-01,94.27767354596624,92.4953095684803,82.04047217537943,129.01960784313727,106.6,106.6,118.6,76.5,0,0,18,-89
Estados Unidos Mexicanos,2011-07-01,95.59099437148218,91.65103189493435,79.59527824620575,129.80392156862746,106.6,106.6,118.6,76.5,0,0,19,-88
Estados Unidos Mexicanos,2011-08-01,93.80863039399625,93.05816135084429,82.46205733558179,131.37254901960785,106.6,106.6,118.6,76.5,0,0,20,-87
Estados Unidos Mexicanos,2011-09-01,93.43339587242026,91.08818011257036,81.1973018549747,124.83660130718954,106.6,106.6,118.6,76.5,0,0,21,-86
Estados Unidos Mexicanos,2011-10-01,98.40525328330207,95.4033771106942,84.48566610455313,133.33333333333331,106.6,106.6,118.6,76.5,0,0,22,-85
Estados Unidos Mexicanos,2011-11-01,102.15759849906192,95.1219512195122,84.40134907251264,128.1045751633987,106.6,106.6,118.6,76.5,0,0,23,-84
Estados Unidos Mexicanos,2011-12-01,101.12570356472797,92.6829268292683,79.34232715008432,132.41830065359477,106.6,106.6,118.6,76.5,0,0,24,-83
Estados Unidos Mexicanos,2012-01-01,90.43151969981238,91.36960600375235,81.11298482293424,133.72549019607843,106.6,106.6,118.6,76.5,0,0,25,-82
Estados Unidos Mexicanos,2012-02-01,91.08818011257036,90.61913696060037,81.61888701517707,126.66666666666669,106.6,106.6,118.6,76.5,0,0,26,-81
Estados Unidos Mexicanos,2012-03-01,90.2439024390244,95.4033771106942,87.43676222596966,136.078431372549,106.6,106.6,118.6,76.5,0,0,27,-80
Estados Unidos Mexicanos,2012-04-01,92.96435272045028,91.27579737335834,80.86003372681283,129.41176470588235,106.6,106.6,118.6,76.5,0,0,28,-79
Estados Unidos Mexicanos,2012-05-01,95.68480300187618,95.87242026266416,86.00337268128162,134.640522875817,106.6,106.6,118.6,76.5,0,0,29,-78
Estados Unidos Mexicanos,2012-06-01,92.02626641651031,94.65290806754223,86.42495784148399,130.0653594771242,106.6,106.6,118.6,76.5,0,0,30,-77
Estados Unidos Mexicanos,2012-07-01,101.68855534709193,95.59099437148218,83.55817875210792,131.24183006535947,106.6,106.6,118.6,76.5,0,0,31,-76
Estados Unidos Mexicanos,2012-08-01,95.68480300187618,95.68480300187618,85.66610455311972,132.94117647058823,106.6,106.6,118.6,76.5,0,0,32,-75
Estados Unidos Mexicanos,2012-09-01,97.56097560975611,93.52720450281427,82.71500843170321,127.71241830065361,106.6,106.6,118.6,76.5,0,0,33,-74
Estados Unidos Mexicanos,2012-10-01,99.81238273921201,97.27954971857412,87.43676222596966,132.15686274509804,106.6,106.6,118.6,76.5,0,0,34,-73
Estados Unidos Mexicanos,2012-11-01,101.21951219512195,96.15384615384616,85.49747048903879,130.58823529411765,106.6,106.6,118.6,76.5,0,0,35,-72
Estados Unidos Mexicanos,2012-12-01,95.30956848030019,90.80675422138837,78.16188870151771,133.07189542483658,106.6,106.6,118.6,76.5,0,0,36,-71
Estados Unidos Mexicanos,2013-01-01,89.11819887429644,92.96435272045028,83.30522765598651,137.64705882352942,106.6,106.6,118.6,76.5,0,0,37,-70
Estados Unidos Mexicanos,2013-02-01,93.43339587242026,90.2439024390244,80.86003372681283,123.26797385620915,106.6,106.6,118.6,76.5,0,0,38,-69
Estados Unidos Mexicanos,2013-03-01,88.55534709193248,91.93245778611633,82.54637436762226,134.24836601307192,106.6,106.6,118.6,76.5,0,0,39,-68
Estados Unidos Mexicanos,2013-04-01,92.6829268292683,93.71482176360226,85.41315345699832,129.15032679738562,106.6,106.6,118.6,76.5,0,0,40,-67
Estados Unidos Mexicanos,2013-05-01,97.27954971857412,96.15384615384616,86.50927487352446,132.15686274509804,106.6,106.6,118.6,76.5,0,0,41,-66
Estados Unidos Mexicanos,2013-06-01,89.49343339587243,92.4953095684803,84.31703204047218,127.84313725490195,106.6,106.6,118.6,76.5,0,0,42,-65
Estados Unidos Mexicanos,2013-07-01,94.09005628517824,94.37148217636022,85.07588532883643,129.5424836601307,106.6,106.6,118.6,76.5,0,0,43,-64
Estados Unidos Mexicanos,2013-08-01,93.15196998123828,95.49718574108819,86.6779089376054,132.15686274509804,106.6,106.6,118.6,76.5,0,0,44,-63
Estados Unidos Mexicanos,2013-09-01,92.5891181988743,92.21388367729831,82.79932546374368,126.53594771241829,106.6,106.6,118.6,76.5,0,0,45,-62
Estados Unidos Mexicanos,2013-10-01,97.27954971857412,98.31144465290808,90.05059021922428,133.07189542483658,106.6,106.6,118.6,76.5,0,0,46,-61
Estados Unidos Mexicanos,2013-11-01,98.78048780487805,95.49718574108819,85.66610455311972,129.41176470588235,106.6,106.6,118.6,76.5,0,0,47,-60
Estados Unidos Mexicanos,2013-12-01,99.43714821763604,92.12007504690433,78.49915682967959,133.33333333333331,106.6,106.6,118.6,76.5,0,0,48,-59
Estados Unidos Mexicanos,2014-01-01,86.86679174484053,93.90243902439023,85.58178752107926,137.12418300653596,106.6,106.6,118.6,76.5,0,0,49,-58
Estados Unidos Mexicanos,2014-02-01,93.99624765478424,91.46341463414635,82.37774030354133,123.13725490196079,106.6,106.6,118.6,76.5,0,0,50,-57
Estados Unidos Mexicanos,2014-03-01,92.77673545966229,97.09193245778613,88.95446880269814,135.16339869281046,106.6,106.6,118.6,76.5,0,0,51,-56
Estados Unidos Mexicanos,2014-04-01,95.4033771106942,94.46529080675423,85.41315345699832,127.32026143790851,106.6,106.6,118.6,76.5,0,0,52,-55
Estados Unidos Mexicanos,2014-05-01,97.4671669793621,98.59287054409006,90.13490725126476,132.02614379084966,106.6,106.6,118.6,76.5,0,0,53,-54
Estados Unidos Mexicanos,2014-06-01,95.30956848030019,96.52908067542215,88.70151770657674,126.92810457516339,106.6,106.6,118.6,76.5,0,0,54,-53
Estados Unidos Mexicanos,2014-07-01,95.1219512195122,96.81050656660413,89.03878583473862,127.58169934640522,106.6,106.6,118.6,76.5,0,0,55,-52
Estados Unidos Mexicanos,2014-08-01,94.93433395872421,96.43527204502814,87.43676222596966,130.32679738562092,106.6,106.6,118.6,76.5,0,0,56,-51
Estados Unidos Mexicanos,2014-09-01,96.43527204502814,95.68480300187618,87.35244519392917,124.18300653594771,106.6,106.6,118.6,76.5,0,0,57,-50
Estados Unidos Mexicanos,2014-10-01,102.4390243902439,101.12570356472797,93.92917369308601,127.32026143790851,106.6,106.6,118.6,76.5,0,0,58,-49
Estados Unidos Mexicanos,2014-11-01,102.34521575984992,97.27954971857412,88.7858347386172,122.61437908496731,106.6,106.6,118.6,76.5,0,0,59,-48
Estados Unidos Mexicanos,2014-12-01,102.25140712945591,95.2157598499062,84.65430016863408,125.359477124183,106.6,106.6,118.6,76.5,0,0,60,-47
Estados Unidos Mexicanos,2015-01-01,90.80675422138837,95.4033771106942,88.1956155143339,130.58823529411765,106.6,106.6,118.6,76.5,0,0,61,-46
Estados Unidos Mexicanos,2015-02-01,92.3076923076923,93.15196998123828,86.93086003372682,120,106.6,106.6,118.6,76.5,0,0,62,-45
Estados Unidos Mexicanos,2015-03-01,93.24577861163228,97.8424015009381,91.65261382799326,129.80392156862746,106.6,106.6,118.6,76.5,0,0,63,-44
Estados Unidos Mexicanos,2015-04-01,97.6547842401501,95.4033771106942,88.70151770657674,118.56209150326798,106.6,106.6,118.6,76.5,0,0,64,-43
Estados Unidos Mexicanos,2015-05-01,96.62288930581614,97.18574108818011,90.64080944350759,123.26797385620915,106.6,106.6,118.6,76.5,0,0,65,-42
Estados Unidos Mexicanos,2015-06-01,96.43527204502814,97.4671669793621,91.73693086003372,120.65359477124183,106.6,106.6,118.6,76.5,0,0,66,-41
Estados Unidos Mexicanos,2015-07-01,104.50281425891184,99.15572232645404,90.64080944350759,122.09150326797386,106.6,106.6,118.6,76.5,0,0,67,-40
Estados Unidos Mexicanos,2015-08-01,100.56285178236399,98.87429643527206,90.80944350758854,124.70588235294117,106.6,106.6,118.6,76.5,0,0,68,-39
Estados Unidos Mexicanos,2015-09-01,104.78424015009382,99.06191369606003,91.06239460370995,119.34640522875817,106.6,106.6,118.6,76.5,0,0,69,-38
