state,01/01/10,01/02/10,01/03/10,01/04/10,01/05/10,01/06/10,01/07/10,01/08/10,01/09/10,01/10/10,01/11/10,01/12/10,01/01/11,01/02/11,01/03/11,01/04/11,01/05/11,01/06/11,01/07/11,01/08/11,01/09/11,01/10/11,01/11/11,01/12/11,01/01/12,01/02/12,01/03/12,01/04/12,01/05/12,01/06/12,01/07/12,01/08/12,01/09/12,01/10/12,01/11/12,01/12/12,01/01/13,01/02/13,01/03/13,01/04/13,01/05/13,01/06/13,01/07/13,01/08/13,01/09/13,01/10/13,01/11/13,01/12/13,01/01/14,01/02/14,01/03/14,01/04/14,01/05/14,01/06/14,01/07/14,01/08/14,01/09/14,01/10/14,01/11/14,01/12/14,01/01/15,01/02/15,01/03/15,01/04/15,01/05/15,01/06/15,01/07/15,01/08/15,01/09/15,01/10/15,01/11/15,01/12/15,01/01/16,01/02/16,01/03/16,01/04/16,01/05/16,01/06/16,01/07/16,01/08/16,01/09/16,01/10/16,01/11/16,01/12/16,01/01/17,01/02/17,01/03/17,01/04/17,01/05/17,01/06/17,01/07/17,01/08/17,01/09/17,01/10/17,01/11/17,01/12/17,01/01/18,01/02/18,01/03/18,01/04/18,01/05/18,01/06/18,01/07/18,01/08/18,01/09/18,01/10/18,01/11/18,01/12/18,01/01/19,01/02/19,01/03/19,01/04/19,01/05/19,01/06/19,01/07/19,01/08/19,01/09/19,01/10/19,01/11/19,01/12/19,01/01/20,01/02/20,01/03/20,01/04/20,01/05/20,01/06/20,01/07/20,01/08/20,01/09/20,01/10/20,01/11/20,01/12/20,01/01/21,01/02/21,01/03/21,01/04/21,01/05/21,01/06/21,01/07/21,01/08/21,01/09/21,01/10/21,01/11/21,01/12/21
          Estados Unidos Mexicanos,102.6,93.5,103.4,99.3,103.4,98.7,98.7,99.9,97.1,98.7,94.6,99.2,101.9,92.4,103.4,98.9,102,98.7,99.3,100.5,95.5,102,98,101.3,102.3,96.9,104.1,99,103,99.5,100.4,101.7,97.7,101.1,99.9,101.8,105.3,94.3,102.7,98.8,101.1,97.8,99.1,101.1,96.8,101.8,99,102,104.9,94.2,103.4,97.4,101,97.1,97.6,99.7,95,97.4,93.8,95.9,99.9,91.8,99.3,90.7,94.3,92.3,93.4,95.4,91.3,94,90.2,92.6,97.2,91.1,94.8,89.2,91.3,88.5,89.7,89.7,86.2,89,84.3,85.4,91.3,79.7,87.4,82.6,85.9,83.5,83.2,82.6,73.8,80.4,77.6,79.2,86.8,74.5,80.2,78.4,80.3,77.6,77.1,79.3,76.1,76.5,72.6,73.6,78.8,70.2,76,71.8,73.2,73.9,73.2,78,74.2,75.1,73.6,74.1,84.4,75.2,77.7,69.8,70,70.8,71.4,75.2,72.4,74.4,71.8,72.5,81.2,73.3,76,73.2,76.2,74.3,73.7,76.6,73.7,75.2,73,73.3
          Aguascalientes,51.9,48.6,51,51,58.5,58.4,60.8,61.6,53.9,61.7,45.1,46.5,44.9,45.1,57.3,59.4,57,58.5,49.2,50.4,53,55.8,51.4,50.5,53.5,51.4,51.6,54.4,55.5,57.3,59.6,59.4,58.7,64.1,61.5,45.7,102.8,91.9,99.8,95.4,116.8,101,102.2,114.1,97.4,100,85.4,93.3,75.8,75.8,132.1,108.6,119,80.9,89.9,120.4,99.5,110.2,89.5,110.3,79.4,84.8,89.6,76.4,61.7,83,65.1,89.1,85.5,92.1,88,91.3,67.6,77.3,77.7,74.7,74.8,91.7,86.5,79.4,75,70.1,68.3,69.6,81.3,80,85.2,74.9,85.2,75.7,79.6,86.4,70.7,73.9,72.4,77,68.7,70.8,73.1,68.2,73,62.9,65.5,74.8,62.1,63.7,69.6,65.4,59.6,53.9,58.7,59.4,60.2,56.4,58.6,62,51.9,64.7,61.2,62.3,59.1,57,50.1,70.8,69.6,64.4,71.5,71.5,70.5,74.9,72,77.5,75.1,64,65.7,63.1,68.3,54.8,61.1,64.1,54.2,73.9,62.6,71.2
          Baja California,97.4,99.7,112.8,105.4,118.5,118.7,111.9,107.7,108,108.3,94.6,102.6,106.9,97.6,117.2,106.8,110.6,102,112.2,105.3,106.7,110.2,104.3,95.6,103.5,92.1,92.2,99.6,105.8,115.7,125.4,111.4,111,111.5,110.5,91.2,101.4,100.6,109,105.1,107.4,103,111.2,99.6,89.9,94.6,89.9,88.4,92.1,82.7,106.2,90.8,101.7,103.8,102.7,98,91.3,102.2,92.5,100.2,105.4,104.9,117.7,113.9,121.8,113.1,116.2,110.7,127.5,124.3,114.9,112.1,96.1,102.9,110,116.5,121.6,118.9,149.2,122.7,116.6,127.1,109.3,117.1,117.2,105.2,130.6,125.1,134.6,124.5,125.3,125.6,122.2,124.5,123.3,131.8,119.7,112.6,123,125,135.6,110.7,117.1,117.9,116.8,113.6,119.8,114.4,108,105.8,112.4,117,125.3,112.6,109.8,115.5,110.2,124.3,114.3,123.2,117.3,116.2,119.5,103.4,109.3,126.4,131.1,144.7,129.3,162.2,164.8,174.2,138,135,134.6,148.7,155.3,143.5,141.6,129.9,123.6,142.8,143,172.4
          Baja California Sur,61.9,58.3,73.6,57.1,70.2,79.3,68.7,65.1,75,59.5,62.9,66.5,72.2,57.9,82.2,61.2,66.9,76.7,64.5,66.7,76.6,68.4,62.9,65.5,76.3,65.4,80.4,71.4,84.7,71.4,69.7,72.9,69,69.2,72.3,60.5,95,88.9,90.5,97,99.7,105,103.3,103.8,96.9,109.8,99.7,110.4,100.6,101,104.3,99.5,107.6,107.1,110.1,107.7,97.3,100.3,109.6,100.3,101,105.5,120.5,113.7,111.5,109.2,114.3,118.9,104.3,114.3,110.6,108.4,112.6,119.8,119.3,131.6,132.7,125.4,134.6,131.5,130.5,130,123.1,111.2,115.9,105.2,118.6,114.8,116,133.1,135.5,132.9,130.2,130.6,122,129.3,130.2,112.1,110.4,131.4,136.2,147.7,146.5,138.4,152.6,126.1,121.2,114.5,106.2,95.8,108.7,114.1,116.6,128.4,124,118.9,120.7,121.2,108.9,109.5,104.9,100,94.1,88,99,106.3,120.5,108.3,108,112.2,102,93.1,89.6,93.9,95.6,99.1,107.9,115.7,105.4,103.9,101.4,98.6,97.3,93.3
          Campeche,113.9,102.4,112.1,107.6,111.3,104.4,106.2,107,103,104.9,98.6,104.7,107.7,96.4,108.2,102.7,105.1,99.8,101.6,102.8,94.8,102.4,97.7,101.4,100.6,95.1,101.6,96.7,100.9,97.5,99.4,101.5,97.6,100.1,98.4,101,104,92.8,101.8,98.3,101.3,99.4,100.5,102.9,98.4,102.5,97.8,100.2,104.5,92.6,101.6,95.9,98.3,93.1,94,96.3,91.8,95.3,91.6,93.1,93.6,87.4,95.2,84.3,87.4,85.4,88.3,88.3,84,87.1,84,86.2,87,85,89.6,81.1,84,80.6,82.7,84.3,79.2,82.4,77.8,78.3,86.9,71.4,76.2,74.3,76.1,74.4,74.5,74.9,59.2,72.3,69.6,71.1,75.5,67.5,73.8,72.2,73.4,69.9,72.9,72.5,72.8,71.7,68.5,71.8,69.8,65.9,72.7,69.6,71.5,69,71.4,73,69.1,68.3,68.2,71.8,72.4,66.8,70.4,67.8,67.5,62.8,63.6,65.7,63.7,64.1,61.9,64.6,66.6,62.1,66,63.8,64.3,60.7,61.9,59.9,59.6,60.5,58.5,59.5
          Coahuila de Zaragoza,98.2,92.6,106.1,101.3,107.3,94.9,85.2,108.7,105.4,96.1,99.1,103,121.3,103.3,105.8,104.8,107.2,107.7,100.7,102.9,107.3,109.8,108,109.6,99.8,99,106.4,110.5,114.4,118.7,119.6,104.7,100.3,107.8,99.1,100.1,86,98.9,105.8,111.7,118.7,97.9,96.6,94.1,93.3,97.7,100.6,98.7,99.7,98.5,101.2,102.9,103.7,99,102,98.9,96.7,102.4,97.8,88.5,87.2,84.6,89,82.1,81.8,88.1,86.4,85.5,81.1,76.6,82.1,88.2,89.4,81.4,86.5,90.1,89.8,80.9,85,89.6,90.4,90.3,85,85.6,89.3,80.2,91.1,99.5,92.4,93.5,88.9,87.2,85.5,89.2,89.4,84.2,80,72.4,86,90.6,82.5,79.2,74.7,77.1,71.9,86.2,85,80.8,76.5,72,79.9,83.4,77.9,75.1,80,81.5,76.5,78.5,76.8,70.4,75.3,68.3,67.3,45.1,45.3,56.2,59.9,58.5,61.9,60.1,57.5,60.6,67.2,63.5,66.6,61.7,64.2,61.4,61.9,61.5,63.7,65.4,66.7,64.4
          Colima,103.5,97.7,101.3,92.5,91.6,99.3,97.9,98.5,100.2,104.7,99.6,102.5,97.8,90.9,103.5,89.2,100.9,104.6,85.3,97,97.4,89.6,95.3,82.6,96.1,89.1,110.9,97.8,105.3,109.1,102.6,94.7,99.2,102.9,96.8,102.1,101.7,99.2,105.9,103.5,101.7,100,101.4,97.2,96.6,99.3,99.4,94.1,101.2,91.4,95.9,85.4,103.6,84.5,90.6,88,86.3,95.6,89.4,98.8,72.9,68,77,76.4,77.4,81.3,78.4,89,87.8,94.7,78.1,81.6,72,81.5,74.6,79.7,83.3,89.1,83.8,85,89.5,91.7,80.5,87.3,80.2,82.7,95.3,89.6,87.4,80.1,86.2,80.2,82.4,94.8,87.5,89.2,81.2,81.5,93.6,96.8,105,98.1,84.5,89.8,78.4,87.3,77.1,84.2,75.2,79.2,82.4,80,86.1,78,85.9,86.7,81,96.5,91.4,92.2,86.1,100.6,85.7,86,88.9,80.5,80.5,81.9,85.1,97.3,89,97.9,90.4,88.3,94,89.5,99.6,87.7,90,84.5,79,97.6,92.2,93.8
          Chiapas,97.3,88.2,97.4,93,98,94.9,102.8,108.3,104.3,105.2,98.9,104.3,100.2,90,101.3,95.9,100.1,99.3,104.6,102.2,96.7,97.3,94,97.5,95.8,88.5,93.8,92.4,95.1,90.5,96.4,99.8,100.1,106,103.4,110.2,102.7,93.4,104,100.7,101.9,96.1,98.6,98.5,98.3,103.5,98.3,103.9,105,93.8,106.2,101.3,103.2,98.2,100.4,100.7,93.7,85.4,84.3,90.7,89.9,78.9,80.1,75.2,78.1,77.6,82.9,84,80.4,81.2,77,80.7,77.1,69.4,71,63.6,64,59.9,60.7,60.5,56.2,55.8,49.7,49,46.3,41.4,46.5,46,45.4,41.6,41.6,40.7,38.5,39.3,37.6,38.8,33.9,30.3,32.3,31.2,32.1,27.5,29.2,29.3,28.3,29,27.2,26.2,24.8,23.1,24.5,22.9,24,23.5,23.4,27.5,31.9,34,32.4,36,40.2,36.7,40.7,37.3,34.8,36.3,39.1,39.6,41.7,43.1,42.9,46.4,44.9,42.1,45.2,43.5,48.8,47.5,49,49.9,52.2,55.3,54.1,54.1
          Chihuahua,69.6,64.9,72.7,66.9,67.7,62.1,62.7,65.4,65.9,68,65.9,71,66.5,67,72.4,75.2,73.9,72.6,71.1,70.7,69.9,73.5,73.5,77.1,94.6,93,96.4,95.4,100.5,90.1,78.2,79.8,79.5,84.5,86.9,89,88.9,90,94.6,93.9,100.4,108.1,104.2,96,94.8,103,110.3,115.8,101.1,98,104.5,94.3,92.1,89.4,84.4,94.7,89.9,85.3,86.1,93.4,84.1,92.9,83.4,79,85.9,88.9,79.4,83.5,83.4,84.9,75.6,76.6,84.3,83.4,89.9,89.7,90.5,93.6,115.2,110.8,104.1,120.7,107.4,113.5,113.5,105.9,131.3,123.9,130,125.8,125.7,129.6,129,131.2,124.6,114.3,156.5,137.7,159.9,151.4,170.6,154,144.5,152.4,160.1,171.5,154.3,162.1,138.4,130.4,155,154.6,139.4,148.9,146.2,151.1,142.8,139.9,141,140.7,160.6,154.7,156.4,103.9,89.2,138.5,144,151.1,137.6,155.7,152.3,148.8,155.2,145.8,144.6,148.4,151.8,154.1,150.6,152,151.6,154.9,145.5,152.1
          Ciudad de México,78.6,87.2,100.2,95.3,97.8,84.9,85.7,94.5,91.9,94.5,100.7,104.1,86.6,88.7,94.5,98.7,120.3,127.5,98.6,124.1,113.5,126.4,121.4,110.7,102,102.6,117.9,101.7,116.5,123.7,138.7,130.4,134.6,137.2,117.5,100,94,104.9,103.5,97.3,104.2,106.3,103,93.2,85.6,112.3,96,99.6,90.6,101.1,128.1,102.6,124,110.6,117.7,120.5,107.7,119.5,123.9,129.2,100.5,102.8,123.4,97.7,110,107.9,105.8,106.3,100.2,110.2,111.4,104.7,96.9,100.5,125.2,131.9,122.4,111.8,147.5,119.5,123.3,137.4,124.3,133.6,134.6,124.1,146.9,137.4,124.5,117.4,127.4,123.7,97.7,123.8,122.4,113.1,119.4,116.5,124.9,131.2,124,111.2,119.8,113.6,105.9,122.2,131.1,112.8,99.1,98.2,114.2,104.5,101.5,106.6,117.8,116,96.2,125.4,128.3,129.7,115.9,116.7,137.9,98.1,85.1,95.1,113.6,110.6,105.7,126.9,137.7,132.4,123.1,115.2,124.9,117.3,126.1,127.9,130.5,117.2,107.6,134.9,130.5,120.4
