Concepto,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1 P,2021 |  T2 P,2021 |  T3 P,2021 |  T4 P,2021 |  6 Meses P,2021 |  9 Meses P,2021 |  Anual P,2022 |  T1 R,2022 |  T2 R,2022 |  T3 R,2022 |  T4 R,2022 |  6 Meses R,2022 |  9 Meses R,2022 |  Anual R,2023 |  T1 R,2023 |  T2 R,2023 |  T3 R,2023 |  T4 P,2023 |  6 Meses,2023 |  9 Meses,2023 |  Anual
Índice de volumen físico base 2018=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,81.4266605443115,81.79212957063184,84.20462919860944,82.73979075676469,81.60939505747167,82.4744731045176,82.54080251757937,84.60288406356361,85.31342444244285,87.03630268091474,85.82087946841722,84.95815425300324,85.6508703956404,85.6933726638346,84.83988959377314,87.85375202636934,88.42249842742261,89.45293548997991,86.34682081007122,87.03871334918836,87.64226888438624,90.1942564252601,92.02589210687776,93.90839841686558,92.14688970558161,91.11007426606892,92.04284898300115,92.06885916364627,91.86063190546543,93.28929796400523,94.31424236171723,93.02611837570993,92.57496493473532,93.15472407706264,93.12257265172448,91.49847195953407,94.1020782499169,93.15047725635579,90.6108833441216,92.80027510472549,92.91700915526891,92.34047770248208,82.3965056639494,82.87344072714458,86.28019766154944,87.90704544682251,82.63497319554702,83.8500480175478,84.86429737486648,86.44643731754664,88.9718367178637,90.14327442462147,89.85217410083078,87.70913701770516,88.52051615334392,88.85343064021563,88.25955899446117,90.88693422243571,92.97900076019803,94.46903101553423,89.57324660844846,90.70849799236498,91.64863124815727,93.29443073433681,95.00800744066628,96.30480767401548,95.0647684531763,94.15121908750154,94.86908194967285,94.91800357554871,91.68452902944088,95.08972156588729,95.27307032629187,95.62446195185689,93.38712529766407,94.01577364054002,94.41794571836923,94.06286372383077,97.70089290891248,98.02005442936982,98.86513781395554,95.88187831637163,96.59460368737103,97.16223721901717,95.99743588096403,98.36278148206395,101.35126078234255,100.0121285358743,97.18010868151397,98.57049271512352,98.93090167031121,97.05254886150313,99.92454164847211,99.86485672782096,100.01203451730001,98.48854525498761,98.94731574593206,99.21349543877406,99.36772837533356,99.86353711079965,100.2000817860563,99.90742616416455,99.6156327430666,99.81044909072983,99.8346933590885,97.98097766483244,101.22874867804575,101.54878477197835,99.24148888514347,99.60486317143908,100.25283703828549,100.,98.06187821177534,99.4911909640919,99.853681203289,96.18664780676241,98.77653458793364,99.13558345971876,98.39834954647966,95.51688124437587,74.64448303761056,92.29462169921567,95.2004830114403,85.08068214099322,87.4853286604007,89.4141172481606,93.59362044545709,94.75061171766605,96.37239104817841,96.80390285206357,94.17211608156155,94.90554107043384,95.38013151584128,98.35791199691639,99.79259859844231,101.7376427808536,101.72178103402779,99.07525529767932,99.96271779207076,100.40248360256001,101.220303946979,103.73897546538939,106.17104656930942,104.61463122975458,102.47963970618422,103.71010866055926,103.9362393028581
a  Región Norte,72.76488403766554,71.89659887502272,73.54814328400792,72.3098434521525,72.33074145634413,72.73654206556539,72.62986741221216,74.75464847928798,75.19954989096372,75.74206798525832,74.52854177911638,74.97709918512587,75.23208878517,75.05620203365659,74.57693127763872,76.60774839608324,78.13123818711396,78.60483777583319,75.59233983686097,76.43863928694532,76.98018890916725,80.66028863138875,82.84752883532211,85.9565723767575,84.41663759400275,81.75390873335544,83.15479661448947,83.47025685936778,83.56579259016702,86.92674150702476,88.29689118183227,86.12253854252273,85.2462670485959,86.26314175967468,86.22799095538672,85.542687497571,88.15187845703598,87.63418351517758,83.71042025646219,86.84728297730348,87.10958315659485,86.25979243156166,70.28195056273499,71.72331391145175,76.88672652034715,77.70761922596692,71.00263223709338,72.96399699817798,74.14990255512521,77.03927494269253,79.67682657399321,82.03134233418788,80.56712017807516,78.35805075834287,79.58248128362455,79.8286410072372,78.82551192196837,81.38410939029446,84.94171617827546,85.336794502027,80.10481065613142,81.71711249684611,82.62203299814132,85.43978017825447,88.16535544214089,87.9471538219765,85.89089464451621,86.80256781019766,87.18409648079061,86.86079602172202,82.88775485566198,87.59226608410245,87.20201591357089,87.79689176317369,85.24001046988222,85.89401228444511,86.36973215412725,86.29853944238195,90.29720371189302,91.41468292989991,90.75244038748787,88.29787157713747,89.33680869472495,89.69071661791568,90.09893496168282,92.12484813233105,96.27162571470232,95.7314113989482,91.11189154700693,92.83180293623873,93.55670505191611,92.47078781075341,94.11080472172173,95.3135209049063,95.2402435928788,93.29079626623756,93.96503781246047,94.28383925756506,94.6797678829363,96.62598555802589,98.09465282464367,97.32066532223723,95.65287672048109,96.46680208853529,96.68026789696076,96.2589575585791,99.89333993310095,102.37056277783626,101.47713973048371,98.07614874584002,99.50762008983875,100.,101.69865295581624,103.786493768635,104.53938425685274,97.96233692416936,102.74257336222563,103.34151032710133,101.99671697636829,97.55259663912483,75.60818890889693,97.08023331202483,98.24869940724152,86.58039277401087,90.08033962001554,92.12242956682202,95.86990371606223,100.24839174705771,100.3388898325628,100.1572458037204,98.05914773155997,98.81906176522757,99.1536077748508,101.80618357604612,103.78274919570754,104.23281339453798,103.76642835338934,102.79446638587683,103.27391538876387,103.39704362992026,104.70714453451558,104.12993940180309,107.85681312122615,105.52761115739666,104.41854196815932,105.56463235251492,105.55537705373538
b  Región Centro-Norte,58.8736136997076,59.27660874066566,62.81496306443394,61.20384096023125,59.07511122018663,60.3217285016024,60.54225661625961,62.477116388465106,63.443987779122736,65.50706314763981,65.2519226498344,62.96055208379392,63.80938910507589,64.17002249126551,62.47955497013281,64.93380041210156,65.05534452713967,68.7579122968331,63.706677691117186,64.15623330312468,65.30665305155179,68.60876315731872,67.95516267654887,68.25999069380585,68.40031949130682,68.2819629169338,68.2746388425578,68.30605900474505,70.42047875832245,69.12748441331205,69.82834934237681,70.21254186267012,69.77398158581725,69.79210417133712,69.89721359417035,70.58036957982834,73.38962483470861,72.62492131275143,70.65176764854031,71.98499720726848,72.19830524242946,71.81167084395716,66.1857145801306,65.83449951530064,69.88404775659912,71.01959567248312,66.01010704771562,67.30142061734344,68.23096438112837,71.25656872187733,73.32484596068298,73.46080283474777,73.25478433723264,72.29070734128014,72.68073917243602,72.82425046363518,73.87016927654719,76.3097067416637,77.97626480293646,78.84187342036036,75.08993800910545,76.05204694038245,76.74950356037694,78.32841452625384,79.31572615476912,81.58896664351258,82.36874473873637,78.82207034051147,79.7443691081785,80.40046301581796,80.45309160991853,81.84098590385044,85.14304038609889,86.09254252585482,81.14703875688448,82.47903929995594,83.38241510643068,84.99957136058858,88.79411296218233,90.37402133909171,93.08635886815169,86.89684216138545,88.05590188728752,89.3135161325036,89.49938784145266,92.94109461176892,96.09050311577879,95.90309657756364,91.22024122661078,92.84366185633345,93.60852053664101,92.31366542523082,97.59637572407809,97.433328292161,99.97462201068171,94.95502057465445,95.78112314715663,96.8294978630379,100.16457191306507,100.97877840285092,101.96871901457405,100.65128526018681,100.571675157958,101.03735644349668,100.94083864766921,98.3581537964403,100.65868169194223,100.77861080827437,100.20455370334315,99.50841774419126,99.93181543221897,100.,95.97008865504289,99.7333209710465,99.29415187422524,96.26000072406362,97.85170481304469,98.33252050010488,97.81439055609458,94.74554857946703,69.98895782468784,94.73844069153104,98.10117938113132,82.36725320207744,86.49098236522865,89.3935316192043,94.97351547815822,92.70605984742659,92.93109959862747,93.94107022926659,93.8397876627924,93.53689164140411,93.6379362883697,96.14675835377,96.48426020289669,99.09930889857061,99.35490483217801,96.31550927833334,97.24344248507909,97.77130807185381,100.21002139914586,100.65034803069308,102.34357187476442,103.11611131331135,100.43018471491946,101.06798043486779,101.58001315447866
c  Región Centro,90.52327098967517,94.0215557600319,95.43231360831018,91.28169210685073,92.27241337485354,93.32571345267242,92.81470811621699,94.58240464829385,95.61132640562266,97.2835258782452,97.26591023102365,95.09686552695825,95.82575231072057,96.18579179079634,97.4130249178107,100.34725855418355,100.44383854632595,97.90587293245406,98.88014173599713,99.40137400610674,99.02749873769355,103.28039927080034,106.39844241498302,107.61230858235295,105.91586954824355,104.83942084289168,105.76371675604544,105.80175495409499,101.41652642601562,101.70147317451956,102.68325225291176,103.28522514467147,101.55899980026759,101.93375061781565,102.27161924952959,97.80453001392058,102.62596249304725,100.19736474027867,99.20415960021275,100.2152462534839,100.20928574908217,99.95800421186482,89.39401794814842,90.88486081821951,90.80702292884172,96.22660589422023,90.13943938318396,90.36196723173656,91.82812689735748,91.12583144637021,93.43396173251315,95.09676610187056,95.32901964404911,92.27989658944168,93.21885309358464,93.74639473120075,91.25499868062154,97.02091786202077,98.92331070817248,101.62910911167447,94.13795827132114,95.7330757502716,97.2070840906223,97.86539982714811,98.44908141124392,101.43240008948607,100.05122218700247,98.15724061919603,99.24896044262603,99.44952587872014,94.57867417092288,98.7047625033962,97.54160019942378,96.51402207563088,96.64171833715955,96.94167895791429,96.83476473734343,91.89805390132291,97.01228781635717,95.10783162217874,98.9250108304708,94.45517085884005,94.67272444661961,95.73579604258241,91.74856223402864,95.29060335018353,97.17284217721624,95.14100277969297,93.51958279210609,94.73733592047614,94.83825263528036,90.0292631029452,96.50804484596718,98.16508223754055,98.6148803466309,93.2686539744562,94.90079672881765,95.82931763327095,95.63285028662605,96.91597675453643,103.45998655421428,104.461629896092,96.27441352058123,98.66960453179226,100.11761087286719,97.78811068791832,102.4020262651278,101.3362920326514,98.47357101430242,100.09506847652305,100.50880966189916,100.,93.05928307205113,93.8327559788923,95.51465474514536,93.56786126373426,93.44601952547171,94.13556459869626,93.99363876495576,91.18883505717027,69.3049621617079,83.45859952063024,90.1933288545144,80.24689860943909,81.31746557983614,83.53643139850571,87.96328816316627,87.20962212117009,92.9543933902249,94.83396964840249,87.58645514216818,89.37576789152041,90.74031833074093,93.73579876154507,93.94570932710914,96.84954366059367,97.43883880284697,93.84075404432711,94.84368391641597,95.49247263802371,90.75320847877654,95.33979796462796,98.75065525893791,98.06212443203394,93.04650322170225,94.94788723411415,95.72644653359409
d  Región Centro-Sur,70.27282418047113,71.7538618420297,73.30549177546413,73.99760390776277,71.01334301125041,71.77739259932167,72.33244542643195,75.6604344281093,76.27066460935332,81.69830060947577,77.88113644087498,75.96554951873131,77.87646654897945,77.87763402195334,77.23083290155395,81.3936072847792,80.89877516762084,81.45633395507899,79.31222009316657,79.84107178465132,80.24488732725824,78.60654167760185,81.57878391777538,83.67307883688134,82.62244334711663,80.0926627976886,81.28613481075286,81.6202119448438,82.91164029650396,85.27732256246905,89.1200040074476,88.00712480524876,84.0944814294865,85.76965562214022,86.32902291791736,85.49229063559096,86.21156002664742,86.96913999184032,82.045054930564,85.85192533111919,86.22433021802624,85.17951139616068,77.0268962931584,76.38575376301307,80.28969246514585,83.83823140342987,76.70632502808573,77.90078084043911,79.3851434811868,81.1094266754392,84.33562444321475,85.35204743542374,88.589423741038,82.72252555932697,83.59903285135924,84.84663057377894,86.31764987527349,87.54866713735791,91.312801900979,91.45608297752841,86.93315850631569,88.39303963787013,89.15880047278469,90.91153058560464,91.19112326622812,95.49560100151844,93.80079890058967,91.05132692591637,92.53275161778372,92.84976343848523,88.34317616038417,92.17305926804379,89.44011677640529,87.97892848192951,90.25811771421398,89.98545073494442,89.4838201716907,90.28367179287558,95.5531260876923,94.53040020477503,96.35872187602082,92.91839894028395,93.4557326951143,94.18147999034096,93.75200654284492,98.51600205598926,98.51189824062347,97.98536461718182,96.13400429941709,96.92663561315254,97.19131786415987,95.23677399111834,99.76866073829547,96.0843939401713,96.45337517017965,97.50271736470691,97.0299428898617,96.8858009599412,99.27518745912495,100.9006275967246,100.90414023911671,102.69903825380058,100.08790752792478,100.35998509832208,100.9447483871917,98.0371833147633,102.75027832039387,101.42044323404542,97.79209513079735,100.39373081757859,100.73596828973419,100.,99.45441497032934,97.12274708493256,96.83599940084173,94.43061147829948,98.28858102763095,97.80438715203455,96.96094323360079,92.57059297831827,68.63345682342405,86.67468506830302,90.50109727107196,80.60202490087116,82.62624495668179,84.59495803527932,89.03385065484444,87.48022057883819,89.94495834835676,88.26587057928774,88.2570356168413,88.81967652734647,88.6812250403318,90.09033182107646,94.51862907686986,99.01912285444206,97.40051015847817,92.30448044897315,94.54269458412945,95.25714847771664,93.481794639577,97.94515387777972,100.75284713061198,98.09242910868097,95.71347425867836,97.39326521598957,97.56805618916242
e  Región Sur-Sureste,129.463995161416,129.18932441396652,133.27526393297725,131.83436253861066,129.32665978769126,130.64286116945328,130.9407365117426,132.25399471259186,133.05709307442388,134.0188644915209,132.76132509096107,132.65554389350785,133.10998409284554,133.02281934237442,130.66956521130984,135.62819485499077,135.8941882639355,137.89278232992547,133.1488800331503,134.06398277674535,135.0211826650404,136.249948893884,138.5063306440676,140.03894070448212,134.86785552718888,137.3781397689758,138.26507341414458,137.4157689424057,135.6774560639095,136.43936027398863,134.94830268658745,131.94577780895162,136.05840816894906,135.68837300816185,134.7527242083593,129.81649899564277,131.96577679152017,129.62922405151647,130.05818802375,130.89113789358146,130.47049994622648,130.36742196560732,127.08207010605695,126.62795246948988,127.72496725567667,127.31811758737261,126.85501128777341,127.14499661040783,127.18827685464905,125.81556995547712,128.27565344765773,127.9411355552043,126.89270407276054,127.04561170156742,127.3441196527797,127.23126575777492,125.31041350808454,127.04988209501641,125.36537805925994,130.10066517688145,126.18014780155049,125.90855788745363,126.95658470981056,126.8397727061519,129.25495093391254,128.96622104449588,127.45710016608027,128.0473618200322,128.35364822818676,128.12951121266013,124.67773887114248,126.90487119825733,127.78965924008725,129.34524656582,125.7913050346999,126.45742310316237,127.17937896882678,126.34033226080183,126.62811602141535,126.4205746892352,125.19238289699335,126.48422414110858,126.4630076571508,126.14535146711145,121.51126867822752,120.51837618886128,124.0125963932293,119.43980006592571,121.0148224335444,122.01408042010604,121.37051033156096,119.34740262351666,117.88472087491073,116.8055083509097,114.08873037511202,118.61606174921371,118.01254394977903,117.03159055611229,111.28408163558395,106.81482213971094,99.5275255043267,98.90962076100185,109.04945188764745,105.87547642654054,104.13401251015586,101.29768572590902,102.70506325929661,100.99761782835768,94.99963318643661,102.00137449260282,101.66678893785443,100.,95.52661909316615,96.13015569841914,96.1580801967013,95.64898138249255,95.82838739579265,95.93828499609553,95.8659590926948,97.67649848742599,87.0151611034646,90.1254610986753,92.58264484956128,92.34582979544528,91.60570689652198,91.84994138478181,94.84695848704996,96.8799285520967,99.72374848268973,101.32160849942605,95.86344351957332,97.15021184061212,98.1930610053156,103.65608954357921,103.85239534328836,105.44607082212084,106.86099506206632,103.75424244343378,104.31818523632947,104.95388769276369,108.94379221631463,117.54277189313385,117.08454375418023,114.5378079335114,113.24328205472423,114.52370262120954,114.527228949285
Variación porcentual anual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,NA,NA,NA,NA,NA,NA,3.900716912642693,4.305175681689761,3.3628477546363627,3.723829470043242,4.103399116208692,3.8513702137841506,3.8194081594782148,0.280138830765452,2.9776410928626262,1.5926638699139488,4.232135634195316,1.6345300451473719,1.62034892014195,2.27426714571844,6.311143092152193,4.748960612696607,6.204190208384361,3.011588385384485,5.516420189314175,5.7493216998013565,5.050748155663769,1.8475405710409092,1.3728808579874112,0.43217002067279964,0.9541598994144493,1.6078251285236433,1.207997260348634,1.1444841368190453,-0.394249351892185,0.8712470815519282,-1.2339229751728737,-2.5962977642835483,0.24338131820951503,-0.25518289506936753,-0.8398553937802262,-9.947670273236994,-11.93240120898416,-7.375463655327195,-2.984010085223943,-10.953956653368635,-9.758128484925479,-8.096319743659535,4.9151740367664445,7.3586856503251425,4.477361976181001,2.2127107606920333,6.140455579444165,5.570024402155013,4.700602478010467,2.0973931756774817,2.1524760814424155,3.145799122204977,5.1382806937119625,2.125331127550595,2.4717228661780695,3.1458555823915617,5.704619190530536,4.53428565226406,3.5769441342943935,0.6306166489038247,5.110870323886758,4.586763147216999,3.5672898578691843,-1.7256139431090531,0.08600761917045929,-1.071324861803319,0.5887496575098368,-0.8115601659149547,-0.8994588032226432,-0.5268314106306207,2.5940414588661724,2.746007980700554,2.8832744590575885,3.388961146500563,2.671410015840749,2.7429759358157355,2.9065359130282786,2.0566800547484547,0.6774642006276821,3.398494698218201,1.1601569039201252,1.3539892917603424,2.0455480454658215,1.8203208385447596,1.0991053780305577,1.5877551883716592,-1.4665866443573208,-0.00009400717259211433,1.3464036943627349,0.38228786366889267,0.2856476224229567,2.385490686220166,-0.06105060545293384,0.33567870542185574,-0.10459576553995475,1.1443843394792168,0.8723160788050706,0.626122401561588,-1.395574532269734,1.3670771201818894,1.346009865342964,-0.6665543339359346,-0.01081112605618273,0.44322809043120515,0.16558035623639,0.08256760533626561,-1.7164666526503112,-1.6692504715793461,-3.0781894877822396,-0.8316145990579997,-1.1144358719145941,-1.6016504535203353,-2.5952969837099005,-24.973776759239882,-7.570136036030647,-1.0252616322624135,-13.865491945101581,-11.751839644996736,-9.130470520824403,-2.0135297277956568,26.93585361147825,4.418209072086611,1.684255993145129,10.685661788068728,8.48166489587851,6.672340399136928,5.090402026103618,5.321323830394007,5.567208278554574,5.08024783822998,5.206572200067399,5.328642210557291,5.26561665086885,2.9101796611465005,3.954578718635233,4.357682827393134,2.8438847278530233,3.4361601171514877,3.7487884996117486,3.5195899279606664
a  Región Norte,NA,NA,NA,NA,NA,NA,NA,2.7345119392926875,4.594029575282832,2.982977684125231,3.0683212976833545,3.6586901717010107,3.430939454552444,3.3406843601595995,-0.23773398078181174,1.8726156036323829,3.154350370154461,5.469442846202341,0.8205714257043155,1.6037711052004653,2.5633949272412053,8.157156978077595,8.145103556597803,10.01562802691403,7.3936922746965905,8.151049312393297,8.786338153315569,8.430828817344775,3.6021492212310164,4.923759017376341,2.722675812172781,2.0208112963754985,4.271793690783582,3.738022665842948,3.3038524137588325,2.3656748127780958,1.4093901701264286,-0.7505447335512088,-2.800797940796386,1.8781067888813396,0.9812318212085529,0.03688068783999654,-17.839908215730688,-18.636658495702136,-12.264000831329781,-7.170912548407443,-18.244267635120963,-16.23884037303644,-14.038858122739413,9.614594253364999,11.089159477991629,6.691162501864696,3.679820564046693,10.35936033566773,9.070890518253606,7.658457066602693,2.318605647060636,2.142759557216749,3.54788031168745,5.920125124752602,2.2292028462723863,2.682287833692868,3.4992353065998856,8.391024802774183,8.332395725221417,3.5382351321854912,0.6493097681048425,8.361242101698394,6.690133580228391,5.1303058878689995,-2.9869287084635943,-0.6500165004319882,-0.8472564216392016,2.2190910067312615,-1.800128014337247,-1.479724225426537,-0.5653458062622008,4.114943869163042,3.0881009805059563,4.830928473608182,3.366347674683709,3.587354213589265,4.008191396250922,3.8450790351672453,4.403777333726765,2.024032135335446,5.313088257962775,5.486321899666265,3.186962403064399,3.9121547910409475,4.310355162474195,2.6324982088626143,2.155723053717267,-0.995209962107964,-0.5130685935700967,2.391460304724859,1.2207399192710966,0.7772122855817258,2.38884097830298,2.672573934248419,2.917877645619754,2.1843935408770676,2.5319544357864885,2.66244162117826,2.5417172850260386,1.6679272783973573,3.381444811357653,4.358963338028516,4.270906281296007,2.533402139530267,3.1521911532971245,3.4337224908988873,5.65110565832461,3.897310709744332,2.1185987652751805,-3.4636400036987993,4.757960703043551,3.852860950549527,1.9967169763682904,-4.076805538901979,-27.15026188528371,-7.135254332951504,0.29231895855429,-15.730753142841706,-12.832375552777307,-9.680985528028387,-1.7249083889456784,32.5893308565434,3.356663256117585,1.9425665764469358,13.257915088824475,9.701031525940579,7.632428107997981,6.192016086263493,3.5256001488458395,3.880772020173879,3.6035161717025375,4.829043249774045,4.508091398519909,4.279658552319219,2.849493868221174,0.3345355647120556,3.476831919494259,1.6972568411137985,1.5799251062658755,2.2180983021006853,2.0874227618540573
