Entidad Federativa,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4
Aguascalientes,69.1,69,72.1,70.3,70.8,73.3,73,75.7,75.3,74.2,74.1,76.5,77.4,79.1,80.2,82.9,87,85.5,88.4,87,86.6,88.4,88.1,86.3,80,80.8,84.3,86.4,86.7,87,89.7,88.8,89.7,91.1,92.3,94.7,96.1,96.8,96.8,98.5,99.4,99.7,100.9,100.1,108.6,109.2,110.4,112.8,112.4,113.8,115.9,116.7,118.4,123.7,123.8,124,127,124.5,126.3,124,131.6,127.7,130.6,130.7,127.8,129.8,129.8,127.5,123.6,99.9,123.3,125.6,128.5,123.1,119.2,117.3291938
Baja California,90.1,85.6,84.9,82.7,91,93.6,89.8,89,91.1,92.6,92.8,95.4,95.2,97.2,99.1,100.1,97.8,98,101.2,99.6,100.8,100.4,98.4,93.7,88.7,87.2,86.7,87.8,89.6,92.2,92.6,93.4,93.7,93.2,95,96.6,96.5,98.1,98.4,98.7,99.4,99.6,101.1,99.8,100.1,102.2,102.9,105.4,108.1,108.2,111,112.1,112.6,113.5,116.2,117.9,117.2,118.5,119.4,120.4,120.7,123,121.5,121.4,123.6,123.2,124.8,122.9,124.8,101.3,123.4,126.7,128,129.5,131.7,130.9452255
Baja California Sur,65.1,64.4,67.1,67.8,64.2,71.7,71.8,75.7,75.8,76,74.9,77.2,79.8,80.2,82.1,83.7,86.9,88.4,98.2,96,95.6,97.8,95.5,90,92.3,93.9,93.6,96.7,97,95.1,95.9,96.5,100.9,97.5,100.1,100.1,100.3,104.1,101.3,102,98.5,98.3,100.5,102.3,101.9,100.3,100.5,100.5,117,115.4,110.4,110.7,114.1,112.8,115.5,122.7,121.8,125.5,133.8,133.7,146.7,152.9,158.3,143.3,139.8,140.3,138.5,133.7,126.6,81.4,101.6,114.3,111.5,115.1,117,122.2858492
Campeche,143.5,143.5,147.5,146.5,144.3,146.8,148.5,148.2,143.4,147.4,142.5,142.9,145.2,144.1,140.4,133,134.1,134.8,129.7,127.1,124.4,120.3,119,117.3,112.8,107.9,107,105.4,105.8,105.1,104,103.3,102.8,100.9,98.2,101,98.4,97.9,99.4,100.7,99.8,99.8,100.2,100.3,98.1,95.3,93.1,94,92.1,86.5,88,87.1,87,82.6,82.8,80.8,78.5,75.7,71.3,72.9,73.8,73.7,73.8,72.3,71.8,71.7,72.1,71.3,72.3,65.1,64.6,65.9,67.4,65.7,63,62.273
Coahuila de Zaragoza,81.2,79,81.3,83.1,83.3,82.4,83.4,84.1,83.6,84.7,85.6,87.3,89.7,89.7,89.4,88.6,89.4,92.6,94.4,95.7,94.1,93.4,91.8,90.3,76.8,73.6,78.9,84.2,87.6,90.4,92.6,93.7,97,95.5,97.5,99.1,101.7,103,102.5,100.3,98.7,99.4,100.4,101.7,103,103.2,104.2,105.4,103.4,103.5,106.8,105.7,105.2,104.8,106.4,108.1,111.2,111.5,111.6,113.1,113.4,114,112.9,112,112.1,112.7,114.7,109.6,105.5,83.8,102.1,106,107,106.3,102.7,102.8242824
Colima,71.1,74.5,75.2,75.6,72.9,72.4,75,76.4,72.2,74.3,75.9,76.4,78.3,79.3,79.4,80.7,88.7,85.7,82.3,82.7,86.7,85.7,87.3,85.8,81.8,82.1,84,86.4,87.7,87.1,89.3,94.3,94.4,96.4,98.5,95.3,96.1,100.3,99.4,100.1,98.2,101.4,100.2,100,103.8,101.7,101.7,102.6,103.9,103,105.4,106.9,106.9,106,108.3,109.9,108.3,110,112.3,115.5,112.7,116.8,115.8,114.2,116.7,118.4,121.2,120.9,119.6,103,108.8,111,112.6,124.1,112.1,113.7604681
Chiapas,91.6,88.1,86.7,86.7,85.5,84.1,84.5,85.2,86.4,86.3,84.5,84.8,85.1,88.9,90.5,89.1,92,90.6,88.6,88.1,89.8,91.6,92.7,93.4,92,90,91.7,91.5,93.5,94.5,100.1,97.6,97.5,100.6,100.1,99.5,101.3,100.3,101.7,102.1,97.6,98,99.4,104.9,104.3,105.1,105.6,104,101.3,102.9,102.9,103.2,103.8,102.6,101.5,101.4,101.1,99.1,97.8,97.7,97.2,94.7,97.2,92.6,92,91.9,94.5,94.7,93.4,81.7,91,92.2,96.3,96.3,94.8,95.47362989
Chihuahua,75.9,73.7,75.3,77.7,77.5,80,79.8,79,80.8,80.5,82,83.3,86,87.3,88.5,90.2,89.1,91.1,92.3,92.2,92.9,93.1,92.1,91.9,85.1,81.7,84.4,85.5,86.4,87.5,88.4,88.4,86.7,88.8,90.1,93.1,95.5,95.1,97.1,97.8,99.2,100.7,99.5,100.5,99.7,102.4,102.8,102.9,106.1,105,108.4,109.2,110.5,110.3,113.1,114.5,115,116.3,115.7,116.1,116.2,117.1,118.7,121.5,120.2,121,120.2,119.9,120.2,100.4,115.3,117.2,119.8,120.7,122.4,119.2914546
Ciudad de México,80.2,80,78.9,80,82.9,83.3,82.2,84.6,83.7,83.9,84.8,85.1,88.5,89.6,88.9,87.8,88.5,91.1,90.6,89.8,89.4,91.6,93.1,92,86.6,86.4,90.3,90.2,91.4,91.3,91.1,92.6,93.8,94.1,95.7,95.8,97.8,98.5,97.8,100,98.9,98.9,100.5,101.6,101.6,103.2,102.9,103.5,105.8,107.3,108.5,107.7,109.4,109.2,110.7,112.9,113.7,114.3,113.1,114.2,115.1,115.9,118.5,117.9,117.4,116.2,118.4,116.8,116.1,95,107,108.4,108.3,109.4,107.7,104.8478849
Durango,78.5,79.8,81.3,83,83.8,83.5,84.3,82.6,80.3,82.4,82.1,82.8,84.1,85.1,84.9,85.7,86.4,85.1,85.8,87.2,87.5,87.9,88.3,85.7,86.4,85.7,85.9,87.3,87.3,89.6,90.2,91.3,93.4,92.5,92.6,94.4,94.6,97.4,97.8,98,99.5,99.3,100.6,100,100.4,102.4,101.8,102.8,101,101.8,102.7,102.9,103.9,104.5,106.7,109.8,107,106.1,104.8,105.4,106.6,106,108.3,107.8,108.4,109,108.1,106,105.9,92.7,100.3,103.4,106.8,106.2,105.7,106.6837831
