Date;24364 - Central Bank Economic Activity Index (IBC-Br) - seasonally adjusted - Index
01/2003;100.49
02/2003;101.97
03/2003;102.04
04/2003;100.94
05/2003;99.76
06/2003;100.29
07/2003;99.06
08/2003;99.77
09/2003;101.70
10/2003;101.91
11/2003;101.99
12/2003;101.54
01/2004;103.60
02/2004;104.50
03/2004;105.99
04/2004;106.43
05/2004;106.32
06/2004;107.22
07/2004;107.81
08/2004;108.22
09/2004;109.48
10/2004;108.76
11/2004;109.64
12/2004;108.78
01/2005;109.65
02/2005;110.16
03/2005;110.42
04/2005;110.98
05/2005;110.91
06/2005;110.63
07/2005;110.62
08/2005;111.31
09/2005;110.88
10/2005;111.05
11/2005;111.83
12/2005;112.29
01/2006;113.38
02/2006;113.63
03/2006;113.57
04/2006;114.22
05/2006;115.62
06/2006;114.72
07/2006;116.92
08/2006;116.63
09/2006;116.82
10/2006;118.08
11/2006;118.89
12/2006;119.88
01/2007;119.66
02/2007;120.18
03/2007;119.39
04/2007;121.19
05/2007;122.38
06/2007;123.39
07/2007;124.20
08/2007;124.35
09/2007;125.33
10/2007;126.30
11/2007;126.25
12/2007;126.96
01/2008;127.22
02/2008;126.83
03/2008;126.41
04/2008;127.70
05/2008;129.40
06/2008;131.16
07/2008;130.90
08/2008;130.98
09/2008;130.91
10/2008;128.19
11/2008;125.09
12/2008;120.93
01/2009;120.80
02/2009;122.19
03/2009;122.95
04/2009;123.63
05/2009;124.85
06/2009;125.90
07/2009;126.28
08/2009;128.05
09/2009;129.12
10/2009;129.77
11/2009;130.21
12/2009;131.29
01/2010;133.43
02/2010;135.18
03/2010;136.56
04/2010;137.03
05/2010;136.47
06/2010;136.20
07/2010;136.91
08/2010;137.64
09/2010;139.42
10/2010;138.71
11/2010;140.31
12/2010;138.33
01/2011;140.09
02/2011;140.72
03/2011;141.09
04/2011;140.80
05/2011;141.23
06/2011;142.21
07/2011;142.24
08/2011;141.93
09/2011;141.79
10/2011;141.53
11/2011;142.46
12/2011;140.44
01/2012;138.81
02/2012;140.49
03/2012;140.03
04/2012;141.02
05/2012;142.65
06/2012;143.56
07/2012;144.00
08/2012;144.35
09/2012;143.69
10/2012;144.82
11/2012;144.73
12/2012;144.15
01/2013;144.95
02/2013;143.80
03/2013;144.92
04/2013;146.20
05/2013;146.83
06/2013;146.34
07/2013;147.18
08/2013;147.11
09/2013;148.17
10/2013;148.01
11/2013;148.43
12/2013;148.53
01/2014;148.26
02/2014;147.87
03/2014;147.88
04/2014;146.87
05/2014;146.29
06/2014;143.62
07/2014;144.82
08/2014;145.60
09/2014;146.24
10/2014;145.47
11/2014;145.59
12/2014;146.08
01/2015;144.96
02/2015;144.01
03/2015;143.74
04/2015;142.39
05/2015;141.09
06/2015;139.58
07/2015;138.71
08/2015;138.94
09/2015;137.59
10/2015;138.55
11/2015;136.67
12/2015;136.13
01/2016;135.50
02/2016;135.51
03/2016;134.61
04/2016;134.75
05/2016;134.30
06/2016;134.86
07/2016;134.63
08/2016;134.01
09/2016;133.78
10/2016;133.32
11/2016;133.02
12/2016;132.19
01/2017;133.38
02/2017;135.43
03/2017;135.68
04/2017;135.75
05/2017;135.19
06/2017;136.06
07/2017;136.51
08/2017;135.83
09/2017;135.52
10/2017;135.81
11/2017;135.60
12/2017;137.29
01/2018;136.86
02/2018;136.68
03/2018;137.23
04/2018;138.38
05/2018;133.40
06/2018;137.42
07/2018;138.02
08/2018;139.35
09/2018;138.00
10/2018;138.08
11/2018;137.95
12/2018;138.54
01/2019;138.46
02/2019;137.38
03/2019;138.36
04/2019;138.03
05/2019;138.94
06/2019;138.93
07/2019;138.53
08/2019;138.61
09/2019;139.16
10/2019;140.02
11/2019;138.94
12/2019;138.25
01/2020;138.77
02/2020;139.36
03/2020;131.98
04/2020;118.89
05/2020;121.40
06/2020;127.54
07/2020;131.76
08/2020;134.48
09/2020;136.50
10/2020;138.45
11/2020;138.12
12/2020;138.52
01/2021;138.83
02/2021;141.05
03/2021;138.59
04/2021;139.04
05/2021;139.13
06/2021;139.43
07/2021;139.36
08/2021;139.49
09/2021;138.65
10/2021;138.56
11/2021;139.27
12/2021;139.73
Source;BCB-Depec
