"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33050.6442784391","34550.9178862028","35369.9962868371","36817.5539766641","38584.9261636103","38366.0717856556","37663.96356464","39115.8131101858","38714.0586907077","38059.9704793716","39934.2438605917","40874.8860220913","40007.7899203473","40050.6166119074","42586.3676954522","41999.7921069174","41974.4061441987","42743.226128996","42990.8734132263","37505.1214542097","36069.476763192","36936.1467295968","36256.7586150699","38300.5412154143","37433.0842779276","36963.0788355433","37377.5022585917","39797.6613282688","40544.4251934525","39432.1286142596","29935.0702780022","38226.146156979","42260.4518367931","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3417.48254272188","3323.86428000343","3166.21129938153","3057.7816566801","3032.64156329713","3087.9450634031","3173.77484211824","3219.52376816685","3199.7264466492","3204.30812454841","3224.30949854363","3257.2230213528","3297.77480587385","3313.16431308398","3413.68525166278","3537.08388526648","3676.8654145906","3824.33171544725","3893.41782859443","3823.73400474128","3921.12921226028","3981.75301530412","3987.57681424499","4047.7442423025","4107.85441641595","4128.52955779718","4124.54495593045","4134.65544267758","4141.87810090008","4128.9378913384","3918.69527185145","3993.49982345471","4038.6705726461","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1806.23416680849","1822.97848366357","1777.45406891654","1907.59701342693","1928.29421593918","2155.89816115026","2196.10036838645","2572.58958885594","2858.12696487518","2766.34209600003","2994.48631916405","3054.45157084118","3024.98212039567","2974.57332178441","2964.28717296313","2956.76992501743","2906.84260016445","2933.95859849601","2776.56152113396","2138.87024713086","","",
"Africa Western and Central","AFW","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3326.88377095614","3282.49177302982","3271.88291879204","3153.62371048086","3072.04614418999","3059.39461045856","3119.39299787157","3170.60949706611","3197.93738016562","3163.52487369949","3188.32193919333","3261.51369584842","3459.83576910085","3545.06899228137","3714.57561621892","3819.33975291075","3911.18534322403","4004.0619807139","4134.48026836071","4259.77184024329","4422.36411103201","4508.47612442541","4617.94445194428","4760.41032177144","4902.30217030542","4908.74738027547","4801.05114519305","4794.52149314444","4810.75949773565","4845.48819538166","4685.69665889048","4750.71941473266","4809.71550633995","",
"Angola","AGO","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7265.34820786392","7097.33690133125","6469.34369330304","4764.72832267977","4676.55125756778","5203.99246053156","5715.30854478114","5929.9480655087","6007.8632012225","5944.01614383895","5930.05093750066","5979.75824466987","6573.98519418253","6543.3464296114","7009.69573928968","7781.43278819043","8373.92813783021","9205.88700138772","9865.30892312139","9589.34762476824","9644.1239865184","9610.84573742373","10046.9910857176","10158.144066145","10262.8470148798","9991.60250008936","9390.91827086088","9049.96266717646","8626.72581572776","8280.18039135071","7562.08736674225","7414.27895783202","7407.10529226277","",
"Albania","ALB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5378.22870307559","3895.62203229473","3637.63246816623","4009.7604273128","4369.42638072165","4982.21640564457","5469.48613209275","4902.78693257555","5369.35988805333","6100.02609312054","6565.45945283307","7176.9924202958","7525.11066737903","7970.91414211862","8445.70719044586","8958.18277393446","9546.99722828453","10194.973786671","11044.0222573136","11491.6519259919","11976.9540199578","12314.9008394175","12510.0763549553","12658.6002790106","12909.9226215392","13234.8430467506","13695.4543915494","14229.3185792718","14837.8085733133","15212.2467328381","14794.6342518007","16262.6634527606","17261.0310926058","",
"Andorra","AND","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49128.7343016069","48684.6034425175","47550.9273491918","45570.416914546","45218.6139908682","45069.2191430982","46268.5362726215","50046.6156917428","51246.193025818","52965.7372253224","54467.8738908304","57394.1783841602","57438.2010720728","59848.7888006167","62172.3484679313","63153.4531317932","65864.391797578","68644.1163997982","66629.149344497","64978.0543227723","65772.5330024323","66654.472880346","62940.9818652409","60406.9609197114","61700.2370940327","62476.0657551217","64084.5149342309","63176.707140374","63174.2620150843","63324.8041142748","55260.3411948963","58829.8500720505","63378.9950967498","",
"Arab World","ARB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10874.321858495","10749.3540675615","11025.6698891408","11052.2696302467","11085.5864327132","11128.0416646275","11395.3974100741","11641.1050034578","12028.1814891585","12037.2690169998","12530.8023409296","12486.883472491","12291.5822780947","12498.4493086505","13309.8370823762","13693.4085451851","14132.9070907566","14401.9319973368","14827.3316340298","14591.8343081153","14911.4329883443","15180.7658518719","15494.5130408954","15515.4370190188","15556.8061897532","15857.7523666376","16148.8181414128","16064.3694974718","16172.7169370681","16158.5892857899","15220.0191942597","15528.6353895188","16193.9048151553","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107947.231112603","103008.343113058","101028.778975128","97376.9717068481","99366.3417221251","101440.164273915","101534.220349376","102914.569373839","97031.2434138416","94160.1303519521","98713.836329772","94911.8194732622","92419.9365176078","95812.715982024","100249.39687612","98053.5134227797","94114.0023175031","81010.1451748536","70245.9808180626","58202.030707634","55724.7277005568","58543.7350781274","58994.3104078834","61361.5704656404","63309.3109625368","66992.2401489087","70109.7276552618","70048.5035839098","70410.8223857979","70638.7327343473","66590.3955093882","68912.5455473732","73724.3071655612","",
"Argentina","ARG","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17073.1580768193","18369.0107174587","19553.8253421588","20873.2191932961","21795.8406933293","20898.5319124925","21777.3083494767","23263.2440234421","23880.7313822427","22807.9821513424","22373.03678309","21152.8567790195","18647.0998581005","20086.5123167203","21679.002559219","23355.3307814191","24975.0187058769","26952.0937769418","27768.6843809796","25861.543571103","28407.4305734637","29767.772411443","29129.1690188431","29497.8525928233","28442.2481891173","28905.7613481314","28006.7736999391","28499.0342488969","27472.61025086","26656.7939194468","23785.7843805643","26086.8023552274","27127.4390969333","",
