time_to_treat,pib,"Impuestos a los productos, netos",Actividades primarias,Actividades secundarias,Minería ,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",Construcción ,Industrias manufactureras ,Actividades terciarias,Comercio al por mayor,Comercio al por menor,"Transportes, correos y almacenamiento ",Información en medios masivos ,Servicios financieros y de seguros ,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,"Servicios profesionales, científicos y técnicos ",Corporativos,Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,Servicios educativos ,Servicios de salud y de asistencia social ,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos ",Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,Otros servicios excepto actividades gubernamentales,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
-35,"14,730,254","584,684","474,239","4,871,989","1,143,701","218,703","1,191,322","2,334,005","8,780,737","1,059,884","1,230,734","897,524","267,283","397,121","1,713,779","297,797","82,772","499,547","651,493","346,656","65,929","318,129","320,079","635,688"
-34,"14,890,538","594,274","502,625","4,926,278","1,153,980","221,974","1,152,951","2,395,395","8,883,736","1,090,680","1,267,489","910,326","266,672","416,010","1,729,131","295,534","81,480","497,803","629,661","345,801","67,387","319,417","317,095","654,754"
-33,"15,032,312","599,586","498,927","4,922,598","1,146,770","228,038","1,136,371","2,412,757","9,002,961","1,107,094","1,309,622","917,255","266,530","411,570","1,751,019","301,467","80,350","499,938","642,068","354,603","67,588","320,095","318,649","653,423"
-32,"15,147,879","600,736","476,917","4,935,571","1,127,949","228,009","1,137,485","2,430,091","9,136,769","1,155,084","1,360,626","927,125","264,194","423,813","1,763,162","297,090","79,224","504,672","641,071","359,596","67,025","319,337","317,521","641,389"
-31,"15,263,966","607,730","473,113","4,954,173","1,136,719","236,203","1,151,609","2,442,186","9,210,733","1,175,965","1,384,818","935,455","265,712","409,869","1,777,614","304,610","82,644","521,797","642,308","358,177","67,123","318,952","318,985","643,341"
-30,"15,344,492","617,931","438,656","5,022,583","1,148,845","238,208","1,195,011","2,439,471","9,284,935","1,191,823","1,399,099","943,547","273,627","410,763","1,780,053","315,796","82,849","528,748","647,966","358,644","67,051","323,410","323,151","646,490"
-29,"15,643,116","621,430","500,118","5,063,814","1,145,178","238,352","1,208,888","2,472,239","9,445,069","1,224,295","1,424,697","953,301","288,341","432,407","1,791,823","314,815","82,820","537,383","658,845","363,446","65,704","328,441","325,592","658,648"
-28,"15,745,016","629,825","472,699","5,176,003","1,160,478","239,052","1,242,691","2,523,475","9,476,987","1,221,316","1,387,803","967,089","280,347","460,704","1,813,781","313,774","86,378","533,560","656,544","363,305","65,502","329,526","327,996","669,144"
-27,"15,848,901","627,376","491,193","5,143,844","1,156,305","240,836","1,215,462","2,537,763","9,609,120","1,262,435","1,424,596","976,128","298,901","471,217","1,822,007","309,136","87,630","534,344","659,695","364,822","66,310","335,025","330,233","682,266"
-26,"15,988,692","626,357","493,473","5,195,026","1,158,512","242,938","1,224,304","2,569,075","9,684,658","1,269,196","1,406,498","982,600","306,202","472,354","1,831,074","314,477","91,093","547,477","658,020","367,540","68,425","340,190","333,224","692,243"
-25,"16,074,376","631,922","501,393","5,223,991","1,161,830","243,153","1,259,629","2,564,004","9,700,217","1,272,050","1,383,277","988,467","313,739","498,732","1,842,542","321,575","93,353","554,977","661,016","373,157","68,739","344,921","335,087","674,821"
-24,"16,212,922","629,279","510,000","5,195,707","1,166,488","243,449","1,220,267","2,555,395","9,887,974","1,302,815","1,438,914","994,919","325,834","512,908","1,852,578","317,420","95,640","572,178","663,223","374,440","70,458","343,454","336,659","675,862"
-23,"16,254,714","630,734","494,163","5,207,307","1,149,824","241,182","1,233,852","2,581,453","9,904,748","1,292,541","1,453,971","1,004,307","320,823","540,214","1,849,162","313,806","91,179","571,681","663,476","375,849","73,506","340,096","338,582","661,345"
-22,"16,168,774","630,492","512,843","5,142,497","1,148,210","243,552","1,195,862","2,556,267","9,893,580","1,276,742","1,461,078","1,005,201","318,047","569,293","1,842,579","310,837","92,686","570,790","660,630","374,406","72,403","342,259","339,667","662,834"
-21,"16,309,283","642,081","508,382","5,171,902","1,149,777","245,244","1,197,521","2,591,289","9,971,395","1,282,852","1,460,291","1,016,516","329,189","576,126","1,857,449","312,936","93,918","574,777","663,722","372,947","72,445","346,900","341,923","677,081"
-20,"16,405,773","634,247","524,084","5,231,466","1,167,359","245,686","1,218,103","2,592,399","10,026,551","1,293,998","1,447,647","1,022,229","331,674","583,647","1,867,077","308,669","83,651","590,763","667,257","373,500","74,485","349,023","339,582","685,813"
-19,"16,519,378","661,542","518,677","5,268,034","1,147,957","261,628","1,221,459","2,638,413","10,063,769","1,316,634","1,442,074","1,031,762","335,183","590,923","1,884,959","311,349","99,357","567,336","664,813","376,652","70,297","350,499","338,787","678,234"
-18,"16,736,668","672,274","528,633","5,348,053","1,142,534","263,549","1,252,236","2,682,254","10,184,554","1,357,810","1,486,404","1,045,101","344,378","606,682","1,883,213","308,385","98,145","574,814","666,167","372,996","69,712","348,528","345,534","673,596"
-17,"16,777,864","674,978","540,003","5,294,384","1,128,952","264,564","1,230,324","2,685,701","10,260,373","1,372,241","1,487,880","1,048,670","342,479","620,783","1,900,880","312,753","97,855","577,141","672,699","372,137","70,503","351,588","346,626","693,342"
-16,"16,964,874","685,268","533,246","5,381,022","1,108,345","265,530","1,269,126","2,729,009","10,377,428","1,393,722","1,498,410","1,063,539","347,470","645,499","1,912,404","324,379","98,029","574,597","666,510","369,981","70,448","356,168","339,373","696,756"
-15,"17,058,325","688,354","544,388","5,328,741","1,102,154","266,542","1,226,702","2,734,905","10,491,872","1,407,126","1,511,220","1,078,538","387,327","669,343","1,916,108","328,261","100,530","576,880","664,211","366,803","71,913","365,091","348,017","716,143"
-14,"17,265,319","705,785","538,677","5,362,490","1,074,229","263,811","1,264,407","2,752,201","10,649,038","1,439,549","1,535,023","1,085,482","398,098","695,281","1,944,792","329,083","102,917","583,304","664,217","363,982","72,814","375,069","348,460","701,771"
-13,"17,467,256","721,561","541,850","5,439,855","1,079,707","269,640","1,331,153","2,773,656","10,759,067","1,463,133","1,560,466","1,095,679","418,544","720,095","1,946,866","332,721","104,230","580,556","670,540","364,061","72,116","378,623","356,035","691,692"
-12,"17,428,130","734,000","540,419","5,398,555","1,071,371","273,101","1,254,443","2,789,692","10,764,035","1,415,152","1,522,388","1,104,142","441,383","743,901","1,958,409","334,042","104,323","575,530","669,082","369,923","72,329","382,844","363,788","692,765"
-11,"17,529,740","746,473","545,389","5,400,702","1,071,067","265,218","1,295,167","2,765,264","10,859,273","1,449,484","1,552,700","1,104,346","463,926","776,357","1,958,274","332,242","102,867","585,209","667,664","374,337","72,552","378,897","360,895","692,770"
-10,"17,605,813","755,350","557,636","5,361,902","1,042,963","269,929","1,281,654","2,771,281","10,932,714","1,455,660","1,547,460","1,111,665","474,060","782,721","1,977,206","339,746","101,028","586,261","671,993","376,978","74,933","375,943","364,694","698,354"
-9,"17,765,984","772,540","568,139","5,373,154","1,021,815","269,145","1,283,457","2,804,953","11,060,018","1,463,177","1,583,322","1,127,545","489,161","799,411","1,985,431","351,566","102,653","578,311","682,451","376,730","76,888","388,236","357,968","704,028"
-8,"17,975,688","782,271","568,931","5,422,612","1,003,905","269,960","1,301,548","2,835,227","11,202,661","1,477,069","1,618,633","1,139,939","494,846","816,815","1,999,036","354,309","100,483","602,402","673,316","377,500","75,359","397,787","362,970","710,523"
-7,"18,061,256","777,987","568,341","5,410,430","976,419","268,924","1,276,562","2,896,372","11,293,616","1,501,067","1,596,882","1,153,123","519,970","831,541","2,015,182","346,719","102,473","621,332","683,021","379,309","75,744","395,251","363,521","698,733"
-6,"18,119,188","801,761","574,367","5,390,881","976,600","268,309","1,269,880","2,878,309","11,343,370","1,517,701","1,635,373","1,163,586","526,085","837,530","2,000,531","346,748","103,269","617,073","682,432","381,559","76,634","401,656","356,586","695,306"
-5,"18,044,663","793,755","576,624","5,340,629","920,573","264,857","1,291,417","2,866,939","11,345,122","1,536,189","1,616,357","1,164,633","530,754","843,001","1,998,461","334,494","102,696","638,898","676,781","381,334","75,351","398,764","360,234","704,496"
-4,"18,307,173","795,322","593,398","5,404,427","923,021","268,327","1,306,098","2,892,369","11,506,780","1,555,917","1,658,335","1,184,018","529,312","849,699","2,007,703","343,846","104,279","661,881","684,035","383,957","76,872","393,264","360,227","713,334"
-3,"18,515,411","810,339","596,079","5,443,705","912,350","286,308","1,319,248","2,931,237","11,646,888","1,574,055","1,689,182","1,200,692","535,048","846,311","2,029,977","339,250","106,533","644,399","685,104","387,372","79,229","411,326","360,781","731,737"
-2,"18,502,372","817,207","594,630","5,435,102","915,717","288,247","1,304,496","2,932,152","11,659,623","1,566,803","1,655,198","1,200,753","565,355","865,350","2,037,863","351,372","113,367","659,160","682,866","391,081","78,300","406,788","363,254","742,762"
-1,"18,553,339","822,356","585,059","5,409,858","893,337","290,620","1,288,711","2,944,728","11,744,326","1,586,767","1,674,559","1,206,637","555,466","900,020","2,042,192","353,471","111,235","677,946","685,524","396,455","79,562","404,395","361,520","719,076"
0,"18,544,444","822,960","597,422","5,346,358","867,601","285,476","1,243,004","2,936,831","11,768,868","1,590,770","1,661,474","1,199,601","568,667","916,867","2,045,661","352,695","106,802","674,831","686,949","396,185","74,337","400,174","366,208","711,088"
1,"18,553,224","822,233","604,926","5,347,937","845,449","278,824","1,298,209","2,929,255","11,771,082","1,571,470","1,659,739","1,205,745","556,196","919,651","2,052,703","352,412","105,808","688,597","686,515","401,599","73,921","409,298","369,541","711,326"
2,"18,474,423","817,114","589,013","5,328,707","844,409","282,389","1,235,525","2,966,648","11,736,751","1,580,263","1,656,202","1,204,310","553,182","911,459","2,062,276","340,069","109,816","693,195","685,173","398,894","72,724","408,050","379,794","709,579"
3,"18,517,409","815,921","592,523","5,320,974","865,420","288,765","1,202,887","2,976,049","11,792,957","1,562,777","1,658,864","1,207,597","590,041","892,418","2,066,988","350,512","109,362","695,272","687,233","397,029","79,457","414,593","364,114","705,437"
4,"18,432,431","811,532","583,748","5,236,211","871,255","293,556","1,164,520","2,895,200","11,794,324","1,536,930","1,662,700","1,184,683","602,544","882,169","2,073,334","353,937","108,121","703,967","693,255","396,340","82,716","415,581","358,533","714,218"
5,"18,250,334","790,173","600,065","5,208,862","896,041","277,743","1,168,826","2,860,387","11,686,300","1,491,410","1,666,337","1,172,347","577,518","887,487","2,090,819","341,982","117,260","705,669","691,650","388,727","83,268","385,202","352,945","743,509"
6,"15,000,843","629,926","574,742","4,027,832","818,645","256,330","830,956","2,120,585","9,764,779","1,235,864","1,192,794","722,151","542,091","847,727","2,012,279","327,981","107,616","656,411","668,164","376,629","19,185","114,221","275,832","706,011"
7,"16,975,744","696,393","622,210","4,885,167","848,397","273,992","999,108","2,773,453","10,789,247","1,406,675","1,542,157","920,546","554,050","836,530","2,055,779","335,821","117,707","710,082","663,909","390,231","33,647","194,877","301,711","711,142"
8,"17,711,134","722,760","592,701","5,073,344","860,166","269,835","1,048,258","2,890,456","11,314,642","1,517,254","1,650,938","1,013,478","605,916","835,456","2,070,524","348,239","120,643","739,736","665,838","402,291","43,496","247,520","306,375","697,630"
9,"17,769,744","745,953","601,661","5,043,532","856,825","223,213","1,079,738","2,877,328","11,370,636","1,548,554","1,643,300","1,041,974","546,905","839,041","2,090,165","359,255","122,521","789,666","674,220","404,025","49,423","249,912","311,987","704,415"
10,"17,903,811","757,136","611,805","5,063,953","859,525","222,096","1,091,456","2,892,148","11,466,721","1,533,502","1,659,910","1,099,518","602,909","856,686","2,100,064","353,243","123,194","708,280","676,915","418,863","54,362","301,076","313,824","712,729"
11,"17,706,590","776,050","620,629","5,072,298","854,106","219,984","1,123,671","2,885,457","11,252,627","1,541,997","1,684,092","1,104,002","625,609","856,233","2,109,752","355,950","131,372","323,461","671,327","410,404","58,551","333,422","334,606","701,454"
12,"17,915,825","790,191","611,103","5,125,832","857,645","222,362","1,088,718","2,954,146","11,376,421","1,588,524","1,727,923","1,163,993","633,548","841,357","2,112,077","372,827","134,911","215,413","673,967","409,757","63,380","364,729","331,442","691,365"
13,"18,098,116","795,213","604,800","5,190,572","866,561","225,739","1,090,978","3,001,923","11,493,410","1,634,247","1,711,685","1,195,006","667,461","856,231","2,117,433","378,397","133,316","206,815","686,811","418,053","74,109","377,408","329,243","698,859"
14,"18,297,961","818,059","611,609","5,228,434","858,444","230,820","1,098,571","3,039,912","11,641,746","1,655,429","1,760,128","1,230,713","700,748","862,566","2,136,469","392,908","138,616","202,348","678,278","431,256","91,113","400,577","322,957","694,769"
15,"18,465,383","823,944","623,481","5,257,927","847,612","230,935","1,091,799","3,097,069","11,772,333","1,686,416","1,764,949","1,247,212","669,195","870,940","2,157,229","382,894","144,544","193,739","694,517","418,422","86,113","398,426","337,965","706,756"
16,"18,572,217","826,649","640,167","5,284,564","860,426","231,300","1,112,611","3,077,640","11,805,199","1,672,412","1,762,736","1,253,108","674,765","886,839","2,170,441","372,609","147,223","176,129","697,880","417,944","88,178","401,749","336,681","712,679"
17,"18,761,767","834,487","622,507","5,315,539","879,693","235,194","1,113,902","3,082,392","11,978,147","1,678,839","1,825,513","1,267,247","719,964","902,240","2,167,548","399,835","150,684","184,577","695,589","423,321","89,616","417,578","340,314","698,354"
