year,month,value,countrycode,base,desestacion
2010,1,89.83110985,MEX,2013,1
2010,2,90.2338586,MEX,2013,1
2010,3,91.23427054,MEX,2013,1
2010,4,91.32017053,MEX,2013,1
2010,5,91.42749226,MEX,2013,1
2010,6,91.47066411,MEX,2013,1
2010,7,91.77153667,MEX,2013,1
2010,8,92.05894834,MEX,2013,1
2010,9,92.42599534,MEX,2013,1
2010,10,92.4722815,MEX,2013,1
2010,11,92.59229022,MEX,2013,1
2010,12,93.25157084,MEX,2013,1
2011,1,93.39442933,MEX,2013,1
2011,2,93.65192269,MEX,2013,1
2011,3,94.06500927,MEX,2013,1
2011,4,93.50831704,MEX,2013,1
2011,5,94.50829315,MEX,2013,1
2011,6,95.03630708,MEX,2013,1
2011,7,95.51847122,MEX,2013,1
2011,8,96.05624783,MEX,2013,1
2011,9,96.19033805,MEX,2013,1
2011,10,96.23430381,MEX,2013,1
2011,11,97.14794871,MEX,2013,1
2011,12,96.78616539,MEX,2013,1
2012,1,97.34590802,MEX,2013,1
2012,2,97.54433794,MEX,2013,1
2012,3,97.88016738,MEX,2013,1
2012,4,98.37782323,MEX,2013,1
2012,5,97.72975994,MEX,2013,1
2012,6,98.60487367,MEX,2013,1
2012,7,99.19879137,MEX,2013,1
2012,8,98.66240658,MEX,2013,1
2012,9,98.94371691,MEX,2013,1
2012,10,98.97335291,MEX,2013,1
2012,11,100.4165989,MEX,2013,1
2012,12,99.51241339,MEX,2013,1
2013,1,99.50854446,MEX,2013,1
2013,2,99.55448722,MEX,2013,1
2013,3,99.62347231,MEX,2013,1
2013,4,99.18594028,MEX,2013,1
2013,5,99.74332565,MEX,2013,1
2013,6,99.54997266,MEX,2013,1
2013,7,99.61157456,MEX,2013,1
2013,8,100.300129,MEX,2013,1
2013,9,100.4430973,MEX,2013,1
2013,10,100.6800426,MEX,2013,1
2013,11,100.6640963,MEX,2013,1
2013,12,101.1816113,MEX,2013,1
2014,1,100.252961,MEX,2013,1
2014,2,101.6319253,MEX,2013,1
2014,3,101.64889,MEX,2013,1
2014,4,102.335935,MEX,2013,1
2014,5,102.7778493,MEX,2013,1
2014,6,102.5385915,MEX,2013,1
2014,7,102.9536665,MEX,2013,1
2014,8,102.7285251,MEX,2013,1
2014,9,102.6470794,MEX,2013,1
2014,10,103.8243463,MEX,2013,1
2014,11,104.0536677,MEX,2013,1
2014,12,104.1020671,MEX,2013,1
2015,1,104.1044425,MEX,2013,1
2015,2,104.4582429,MEX,2013,1
2015,3,104.5591751,MEX,2013,1
2015,4,106.1405804,MEX,2013,1
2015,5,105.1853399,MEX,2013,1
2015,6,105.6035859,MEX,2013,1
2015,7,106.464582,MEX,2013,1
2015,8,106.6441639,MEX,2013,1
2015,9,107.6873672,MEX,2013,1
2015,10,106.7493314,MEX,2013,1
2015,11,106.2892472,MEX,2013,1
2015,12,106.4823882,MEX,2013,1
2016,1,107.0281647,MEX,2013,1
2016,2,107.4664419,MEX,2013,1
2016,3,107.2344844,MEX,2013,1
2016,4,107.3404853,MEX,2013,1
2016,5,107.6637578,MEX,2013,1
2016,6,108.2621261,MEX,2013,1
2016,7,108.2196535,MEX,2013,1
