date,spbmv_vix
02/01/15,23.01
05/01/15,24.22
06/01/15,23.05
07/01/15,22.44
08/01/15,22.02
09/01/15,21.59
12/01/15,22.39
13/01/15,22.49
14/01/15,22.46
15/01/15,22.2
16/01/15,22.09
19/01/15,22.37
20/01/15,21.73
21/01/15,20.91
22/01/15,20.57
23/01/15,20.73
26/01/15,20.38
27/01/15,20.66
28/01/15,21.42
29/01/15,21.32
30/01/15,23.09
03/02/15,22.24
04/02/15,21.78
05/02/15,22.22
06/02/15,22.02
09/02/15,21.56
10/02/15,21.4
11/02/15,22.12
12/02/15,21.57
13/02/15,21.65
16/02/15,21.82
17/02/15,22.04
18/02/15,21.8
19/02/15,22.55
20/02/15,22.24
23/02/15,21.61
24/02/15,21.58
25/02/15,21.56
26/02/15,21.29
27/02/15,22.6
02/03/15,21.93
03/03/15,21.86
04/03/15,21.38
05/03/15,21.08
06/03/15,22.18
09/03/15,22.35
10/03/15,23
11/03/15,22.13
12/03/15,21.18
13/03/15,22.05
17/03/15,21.99
18/03/15,22.03
19/03/15,21.92
20/03/15,22.98
23/03/15,21.35
24/03/15,21.51
25/03/15,21.15
26/03/15,20.78
27/03/15,20.39
30/03/15,20.14
31/03/15,21.5
01/04/15,21.52
06/04/15,19.85
07/04/15,19.92
08/04/15,19.41
09/04/15,19.74
10/04/15,19.58
13/04/15,19.12
14/04/15,18.85
15/04/15,18.92
16/04/15,18.35
17/04/15,18.71
20/04/15,18.43
21/04/15,18.22
22/04/15,17.99
23/04/15,17.61
24/04/15,17.24
27/04/15,17.55
28/04/15,17.5
29/04/15,17.89
30/04/15,28.93
04/05/15,18.86
05/05/15,19.05
06/05/15,18.96
07/05/15,19.2
08/05/15,18.94
11/05/15,18.43
12/05/15,18.44
13/05/15,18.39
14/05/15,17.89
15/05/15,17.71
18/05/15,17.37
19/05/15,17.34
20/05/15,17.32
21/05/15,17.62
22/05/15,17.73
25/05/15,27.32
26/05/15,19.58
27/05/15,17.18
28/05/15,16.68
29/05/15,23.23
01/06/15,18.79
02/06/15,18.26
03/06/15,17.83
04/06/15,19.36
05/06/15,18.61
08/06/15,18.05
09/06/15,17.76
10/06/15,16.85
11/06/15,17.79
12/06/15,16.95
15/06/15,17.55
16/06/15,17.06
17/06/15,17.22
18/06/15,15.96
19/06/15,15.87
22/06/15,15.07
23/06/15,14.8
24/06/15,15.04
25/06/15,15.15
26/06/15,14.84
29/06/15,17.3
30/06/15,17.2
01/07/15,17.17
02/07/15,15.74
03/07/15,17.25
06/07/15,16.08
07/07/15,16.1
08/07/15,16.36
09/07/15,16.06
10/07/15,14.95
13/07/15,14.45
14/07/15,13.84
15/07/15,13.97
16/07/15,13.85
17/07/15,13.26
20/07/15,13.13
21/07/15,12.97
22/07/15,13.81
23/07/15,13.57
24/07/15,15.07
27/07/15,15.54
28/07/15,14.55
29/07/15,14.64
30/07/15,14.57
31/07/15,14.55
03/08/15,14.57
04/08/15,14.3
05/08/15,14.45
06/08/15,14.74
07/08/15,14.75
10/08/15,14.45
11/08/15,15.72
12/08/15,16.13
13/08/15,15.73
14/08/15,15.76
17/08/15,15.69
18/08/15,15.67
19/08/15,16.27
20/08/15,16.6
21/08/15,18.1
24/08/15,22.41
25/08/15,21.85
26/08/15,20.7
27/08/15,19.89
28/08/15,19.79
31/08/15,19.62
01/09/15,22.31
02/09/15,21.42
03/09/15,20.2
04/09/15,21.01
07/09/15,20.98
08/09/15,20.14
09/09/15,20.64
10/09/15,20.05
11/09/15,19.63
14/09/15,19.81
15/09/15,17.73
17/09/15,18.32
18/09/15,18.74
21/09/15,18.24
22/09/15,18.72
23/09/15,23.47
24/09/15,18.82
25/09/15,18.79
28/09/15,19.39
29/09/15,20.35
30/09/15,18.53
01/10/15,19.37
02/10/15,17.56
05/10/15,17.86
06/10/15,16.94
07/10/15,17.09
08/10/15,16.24
09/10/15,16.26
12/10/15,15.86
13/10/15,16.23
14/10/15,17.05
15/10/15,15.72
16/10/15,15.77
19/10/15,15.35
20/10/15,15.37
21/10/15,15.58
22/10/15,15.54
23/10/15,15.24
26/10/15,15.01
27/10/15,15.32
28/10/15,16.25
29/10/15,15.16
30/10/15,15.59
03/11/15,15.62
04/11/15,15.34
05/11/15,17.08
06/11/15,15.78
09/11/15,16.34
10/11/15,15.78
11/11/15,14.97
12/11/15,16.81
13/11/15,17.11
17/11/15,17.38
18/11/15,16.67
19/11/15,17.28
20/11/15,16.22
23/11/15,16.17
24/11/15,15.92
25/11/15,16.89
26/11/15,16.72
27/11/15,16.39
30/11/15,16.95
01/12/15,16.46
02/12/15,16.95
03/12/15,17.5
04/12/15,17.27
07/12/15,16.93
08/12/15,18.03
09/12/15,17.59
10/12/15,17.32
11/12/15,18.5
14/12/15,19.81
15/12/15,19.35
16/12/15,17.07
17/12/15,20.1
18/12/15,18.02
21/12/15,17.14
22/12/15,16.28
23/12/15,15.49
24/12/15,15.66
28/12/15,15.51
29/12/15,15.74
30/12/15,16.44
31/12/15,16.54
04/01/16,17.46
05/01/16,16.89
06/01/16,17.29
07/01/16,18.24
08/01/16,18.39
11/01/16,17.85
12/01/16,17.25
13/01/16,18.66
14/01/16,19.19
15/01/16,18.38
18/01/16,19.58
19/01/16,18.22
20/01/16,18.55
21/01/16,18.44
22/01/16,15.38
25/01/16,17.17
26/01/16,19.04
27/01/16,17.91
28/01/16,16.93
29/01/16,16.62
02/02/16,17.55
03/02/16,17.67
04/02/16,17.58
05/02/16,18.35
08/02/16,19.47
09/02/16,19.72
10/02/16,19.61
11/02/16,20.59
12/02/16,19.84
15/02/16,20.69
16/02/16,19.14
17/02/16,18.63
18/02/16,19.23
19/02/16,18.24
22/02/16,18.02
23/02/16,18.12
24/02/16,18.13
25/02/16,17.73
26/02/16,18.76
29/02/16,18.04
01/03/16,17.46
